日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,中证500主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2016-03-29,2057.7419504889,87.1188151756,311.9200734498,1143.4849994167,,2224.1403651340,,37496.4514073335,10256.3917233282,4764.5877910505,
2016-03-30,2114.7541308182,87.1144507241,315.3960156173,1148.3446891720,,2313.2781077942,,36897.9446011510,10243.3040265311,4731.9675922243,
2016-03-31,2115.4170631476,87.1144507241,312.4079249821,1132.7936819551,,2312.9707362678,,36768.2681264781,10273.8419857244,4817.3176788290,
2016-04-01,2125.7588074864,87.1755530443,313.6885352543,1137.1674027349,,2316.0444515319,,37027.6210758238,10374.3944817549,4859.0002792639,
2016-04-05,2145.3816044369,86.9660593752,312.2859620990,1143.9709683922,,2378.4408713940,,36638.5916518052,10361.2789387944,4731.9675922243,
2016-04-06,2147.5029878910,86.9180504094,313.1397022805,1138.6253096614,,2391.1199468586,,36638.5916518052,10286.9575286849,4726.0129350193,
2016-04-07,2123.2396646346,86.8307613806,312.7738136313,1138.1393406859,,2365.2238957582,,36558.7907443142,10300.0730716454,4710.1338491394,
2016-04-08,2108.1248075241,87.0097038896,314.6642383189,1130.3638370775,,2349.1637335031,,35671.0056484768,10173.2894896939,4674.4059059095,
2016-04-11,2130.5319202581,87.0664417583,317.7742918371,1147.8587201965,,2396.3452628077,,35740.8314425315,10295.7012239919,4718.0733920794,
2016-04-12,2131.5926119852,87.0708062097,319.2988278755,1168.2694171686,,2397.4210631501,,35890.4581440771,10304.4449192989,4714.1036206094,
2016-04-13,2155.5907623098,86.8962281522,317.5913475125,1188.1941451653,,2422.8560569609,,36738.3427861690,10444.3440442109,4779.6048498642,
2016-04-14,2167.2583713075,86.6474544202,314.4203125527,1197.9135246758,,2451.7489804438,,36758.2930130417,10457.4595871714,4886.7886795538,
2016-04-15,2167.9213036369,86.8394902835,313.6885352543,1201.8012764800,,2449.9815941670,,36688.4672189871,10457.4595871714,4785.5595070691,
2016-04-18,2137.1193577611,86.8569480892,313.8714795789,1224.1558493543,,2402.1220753674,,36518.8902905687,10453.0877395179,4767.6955354542,
2016-04-19,2137.7889652802,86.9224148608,316.9205516556,1223.6698803788,,2405.8278371196,,36848.0690339691,10523.0373019739,4779.6048498642,
2016-04-20,2085.6935002990,86.6736411288,317.8962547202,1256.7157707147,,2283.0646233289,,37267.0237982968,10558.0120832018,4853.0456220589,
2016-04-21,2085.8274218028,86.6823700317,321.9820113030,1302.3968544143,,2281.9607794027,,38005.1821925886,10842.1821806793,5025.7306810033,
2016-04-22,2103.3711388016,86.7522012547,317.8352732787,1258.1736776413,,2306.2453457788,,37875.5057179157,11196.3018406128,4892.7433367588,
2016-04-25,2094.2644765427,86.4597830083,315.4569970588,1249.4262360818,,2292.6049886909,,38025.1324194613,11266.2514030688,5087.2621387881,
2016-04-26,2104.5764323359,86.7172856432,314.7862012019,1270.8088710050,,2320.0433948561,,37606.1776551336,11183.1862976523,5059.4737384982,
2016-04-27,2093.0591830084,86.7172856432,318.6890134602,1276.6404987113,,2312.4741793622,,37526.3979093789,11209.4173835733,5081.3074815832,
2016-04-28,2089.9789884209,86.9486015695,319.8476608493,1277.6124366624,,2299.5434362269,,37177.3615217019,10916.5035907888,4986.0329663035,
2016-04-29,2094.5323195503,86.8656769921,324.9701019382,1271.7808089560,,2304.1953499158,,37556.3153140369,11091.4475585899,4974.1236518935,
2016-05-03,2142.7440609210,87.0708062097,331.1292275332,1322.8075513864,,2398.8893895836,,37805.6270195204,11157.0515465153,4918.5468513137,
2016-05-04,2134.8426921964,87.1537307871,327.3483781581,1300.9389474877,,2390.1374841688,,37127.4991806052,10912.1299915938,4898.6979939638,
2016-05-05,2137.7889652802,87.1580952385,326.8645822916,1299.9670095366,,2417.7335823234,,36738.5729200509,10894.6355948137,4835.1816504440,
2016-05-06,2068.0158617964,87.2112377182,327.4693271247,1270.3229020295,,2321.1472387823,,36519.1786192255,10794.0428133281,4779.6048498642,
2016-05-09,2023.5539225323,87.8356618546,326.6226843584,1295.5932887569,,2228.5031949775,,35741.3260981169,10544.7476592115,4737.9222494293,
2016-05-10,2032.3927417836,87.8976614143,323.6594346762,1292.6774749037,,2227.3993510513,,35851.0232485296,10417.9132825557,4710.1338491394,
2016-05-11,2043.9099911111,87.8578045545,325.2317712422,1348.0779381139,,2223.6147433044,,35860.9957167490,10601.6044487468,4722.0431635493,
2016-05-12,2053.4184178814,88.1190884130,324.2641795093,1376.7501076700,,2235.2839505240,,36140.2248268905,10645.3404406971,4656.5419342946,
2016-05-13,2054.3558684081,88.0128034536,326.6831588417,1359.7411935266,,2231.0262668087,,35382.3172422206,10557.8684567966,4595.0104765098,
2016-05-16,2063.9982166822,87.6762344155,329.0416636908,1365.0868522574,,2275.5742538298,,35511.9593290720,10693.4500318424,4606.9197909197,
2016-05-17,2063.3286091632,87.6939485754,326.6831588417,1374.3202627924,,2278.3338636452,,35801.1609074329,10877.1411980336,4696.2396489944,
2016-05-18,2048.0615577291,87.5035213565,326.8041078083,1386.4694871806,,2220.6185955047,,35282.5925600272,10732.8124245977,4650.5872770896,
2016-05-19,2044.8052823144,87.5478067563,321.6637767269,1384.5256112785,,2224.1974833917,,35103.0881320791,10780.9220157430,4583.1011620998,
2016-05-20,2058.3730965424,87.7692337550,321.8452001768,1394.7309597646,,2262.3451747324,,35222.7577507112,10877.1411980336,4598.9802479798,
2016-05-23,2064.3429348028,87.7515195951,321.0590318938,1378.2080145966,,2291.7896614388,,35073.1707274211,10737.1860237927,4509.6603899051,
2016-05-24,2054.5741085586,87.9419468140,318.8214760113,1325.2373962641,,2276.9047413635,,35093.1156638597,10732.8124245977,4481.8719896151,
2016-05-25,2049.8253735788,87.9242326541,314.1044663131,1355.8534417223,,2259.5796704561,,35392.2897104400,10553.4948576015,4485.8417610851,
2016-05-26,2052.8102927089,87.8090906148,315.3139559793,1406.8801841527,,2288.7801420793,,35960.7203989424,10658.4612382822,4515.6150471100,
2016-05-27,2057.9660621156,87.7470910551,313.8625683799,1395.2169287401,,2289.9188791343,,35811.1333756523,10689.0764326474,4479.8871038802,
2016-05-30,2060.0012342498,87.6230919359,310.1736248980,1445.2717332194,,2281.9477197496,,35681.2380816000,10754.6804205728,4509.6603899051,
2016-05-31,2142.9005791834,87.8135191548,313.1973490635,1423.8890982962,,2408.9169013761,,35721.2058643853,10724.0652262076,4565.2371904849,
