date,货币信用周期策略0.2（股指信号）
2020-12-09,1.4796057192343857
2020-12-10,1.4829692333767481
2020-12-11,1.4738648475993619
2020-12-14,1.4818164653582273
2020-12-15,1.4814137947412158
2020-12-16,1.4844297159949371
2020-12-17,1.4957422142726786
2020-12-18,1.4981794711287728
2020-12-21,1.5047356545856425
2020-12-22,1.488639211560575
2020-12-23,1.4919067317760515
2020-12-24,1.4922772091181942
2020-12-25,1.499860981051845
2020-12-28,1.4957373725188134
2020-12-29,1.4907799710283018
2020-12-30,1.501499110417812
2020-12-31,1.5127138332036294
2021-01-04,1.5222549594355863
2021-01-05,1.5278560410032518
2021-01-06,1.5372021708908745
2021-01-07,1.546862438249912
2021-01-08,1.546659503134706
2021-01-11,1.5314139851328123
2021-01-12,1.5452435635970891
2021-01-13,1.5502318147162846
2021-01-14,1.5419815984140628
2021-01-15,1.5370184753404967
2021-01-18,1.5407634160389074
2021-01-19,1.536179627967981
2021-01-20,1.5373716733522533
2021-01-21,1.547810421756198
2021-01-22,1.5407235289878758
2021-01-25,1.5409941146054904
2021-01-26,1.5300116780122048
2021-01-27,1.5346757475971047
2021-01-28,1.5201559200853358
2021-01-29,1.5199301070633786
2021-02-01,1.5305451966679697
2021-02-02,1.531408771681269
2021-02-03,1.5263642877288681
2021-02-04,1.5288051283935673
2021-02-05,1.5289002849462399
2021-02-08,1.537636642946483
2021-02-09,1.55332666026269
2021-02-10,1.5596905759224993
2021-02-18,1.5711048103367486
2021-02-19,1.577813452343386
2021-02-22,1.5795095487112816
2021-02-23,1.586203678449792
2021-02-24,1.5786929997972838
2021-02-25,1.5921288960588975
2021-02-26,1.5661265622506408
2021-03-01,1.5734749588158834
2021-03-02,1.5575321601857681
2021-03-03,1.5747194724808098
2021-03-04,1.5600952886230794
2021-03-05,1.5647844783570009
2021-03-08,1.554669561738368
2021-03-09,1.5373260030849896
2021-03-10,1.5310204479581153
2021-03-11,1.5497677118935602
2021-03-12,1.5496804516000087
2021-03-15,1.5485618361417137
2021-03-16,1.5467444365094445
2021-03-17,1.5533501517741133
2021-03-18,1.5556622618985523
2021-03-19,1.5380651373316867
2021-03-22,1.5491937333723629
2021-03-23,1.5425489054469659
2021-03-24,1.5364607318742147
2021-03-25,1.5370875459890405
2021-03-26,1.550269660032141
2021-03-29,1.551227547378522
2021-03-30,1.5520293511485572
2021-03-31,1.5482414621811837
2021-04-01,1.5579244677280795
2021-04-02,1.5653610574040473
2021-04-06,1.5614152116399245
2021-04-07,1.5614894377846642
2021-04-08,1.5612340520656793
2021-04-09,1.558238774707449
2021-04-12,1.5495810657307583
2021-04-13,1.5527915415441051
2021-04-14,1.559163661647425
2021-04-15,1.5645724761680309
2021-04-16,1.570314445818584
2021-04-19,1.5821333712080548
2021-04-20,1.5811318860115404
2021-04-21,1.580327749870391
2021-04-22,1.5804653389618026
2021-04-23,1.5866157285605305
2021-04-26,1.581229439490669
2021-04-27,1.5860609660407818
2021-04-28,1.5891597517161666
2021-04-29,1.5959333053938167
2021-04-30,1.5951126514015084
2021-05-06,1.6001448243831922
2021-05-07,1.6018590585478336
2021-05-10,1.6092279576113213
2021-05-11,1.6054548663926282
2021-05-12,1.6150291194363582
2021-05-13,1.6036040687774369
2021-05-14,1.6091608661280237
2021-05-17,1.6179820122223252
2021-05-18,1.623170617610329
2021-05-19,1.6177948439135628
2021-05-20,1.6167364310473573
2021-05-21,1.6086750417727191
2021-05-24,1.6097275023788447
2021-05-25,1.6256676314666658
2021-05-26,1.6266902982956917
2021-05-27,1.6279257601164139
2021-05-28,1.6306989068991724
2021-05-31,1.6359552346594637
2021-06-01,1.6388886891284073
2021-06-02,1.6317655298265294
