资产,来源,日期,合约内部编码,合约代码,收盘价,主力标志
10年国债主连,financial,2015-06-17,2005982,T1509,94.9600000000,1.0000000000
10年国债主连,financial,2015-06-17,2005983,T1512,95.4250000000,
10年国债主连,financial,2015-06-17,2005984,T1603,95.9750000000,
10年国债主连,financial,2015-06-18,2005982,T1509,95.2500000000,1.0000000000
10年国债主连,financial,2015-06-18,2005983,T1512,95.7950000000,
10年国债主连,financial,2015-06-18,2005984,T1603,95.9750000000,
10年国债主连,financial,2015-06-19,2005982,T1509,95.0200000000,1.0000000000
10年国债主连,financial,2015-06-19,2005983,T1512,95.4900000000,
10年国债主连,financial,2015-06-19,2005984,T1603,95.9900000000,
10年国债主连,financial,2015-06-23,2005982,T1509,94.9100000000,1.0000000000
10年国债主连,financial,2015-06-23,2005983,T1512,95.4600000000,
10年国债主连,financial,2015-06-23,2005984,T1603,95.8000000000,
10年国债主连,financial,2015-06-24,2005982,T1509,94.8850000000,1.0000000000
10年国债主连,financial,2015-06-24,2005983,T1512,95.4000000000,
10年国债主连,financial,2015-06-24,2005984,T1603,95.8000000000,
10年国债主连,financial,2015-06-25,2005982,T1509,94.8000000000,1.0000000000
10年国债主连,financial,2015-06-25,2005983,T1512,95.2600000000,
10年国债主连,financial,2015-06-25,2005984,T1603,96.0000000000,
10年国债主连,financial,2015-06-26,2005982,T1509,94.7150000000,1.0000000000
10年国债主连,financial,2015-06-26,2005983,T1512,95.2050000000,
10年国债主连,financial,2015-06-26,2005984,T1603,96.0000000000,
10年国债主连,financial,2015-06-29,2005982,T1509,94.5350000000,1.0000000000
10年国债主连,financial,2015-06-29,2005983,T1512,95.0550000000,
10年国债主连,financial,2015-06-29,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-06-30,2005982,T1509,94.7550000000,1.0000000000
10年国债主连,financial,2015-06-30,2005983,T1512,95.2100000000,
10年国债主连,financial,2015-06-30,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-01,2005982,T1509,94.6450000000,1.0000000000
10年国债主连,financial,2015-07-01,2005983,T1512,95.1300000000,
10年国债主连,financial,2015-07-01,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-02,2005982,T1509,94.6100000000,1.0000000000
10年国债主连,financial,2015-07-02,2005983,T1512,95.0350000000,
10年国债主连,financial,2015-07-02,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-03,2005982,T1509,95.2200000000,1.0000000000
10年国债主连,financial,2015-07-03,2005983,T1512,95.6000000000,
10年国债主连,financial,2015-07-03,2005984,T1603,95.3500000000,
10年国债主连,financial,2015-07-06,2005982,T1509,95.9200000000,1.0000000000
10年国债主连,financial,2015-07-06,2005983,T1512,96.2850000000,
10年国债主连,financial,2015-07-06,2005984,T1603,96.3650000000,
10年国债主连,financial,2015-07-07,2005982,T1509,96.2800000000,1.0000000000
10年国债主连,financial,2015-07-07,2005983,T1512,96.8450000000,
10年国债主连,financial,2015-07-07,2005984,T1603,96.3650000000,
10年国债主连,financial,2015-07-08,2005982,T1509,95.8000000000,1.0000000000
10年国债主连,financial,2015-07-08,2005983,T1512,96.4000000000,
10年国债主连,financial,2015-07-08,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-07-09,2005982,T1509,96.1500000000,1.0000000000
10年国债主连,financial,2015-07-09,2005983,T1512,96.7000000000,
10年国债主连,financial,2015-07-09,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-07-10,2005982,T1509,95.9500000000,1.0000000000
10年国债主连,financial,2015-07-10,2005983,T1512,96.4850000000,
10年国债主连,financial,2015-07-10,2005984,T1603,96.9000000000,
10年国债主连,financial,2015-07-13,2005982,T1509,95.7200000000,1.0000000000
10年国债主连,financial,2015-07-13,2005983,T1512,96.3850000000,
10年国债主连,financial,2015-07-13,2005984,T1603,96.9000000000,
10年国债主连,financial,2015-07-14,2005982,T1509,95.5750000000,1.0000000000
10年国债主连,financial,2015-07-14,2005983,T1512,96.0750000000,
10年国债主连,financial,2015-07-14,2005984,T1603,96.5700000000,
10年国债主连,financial,2015-07-15,2005982,T1509,95.4450000000,1.0000000000
10年国债主连,financial,2015-07-15,2005983,T1512,95.8700000000,
10年国债主连,financial,2015-07-15,2005984,T1603,96.5000000000,
10年国债主连,financial,2015-07-16,2005982,T1509,95.7500000000,1.0000000000
10年国债主连,financial,2015-07-16,2005983,T1512,96.2000000000,
10年国债主连,financial,2015-07-16,2005984,T1603,96.5400000000,
10年国债主连,financial,2015-07-17,2005982,T1509,95.8000000000,1.0000000000
10年国债主连,financial,2015-07-17,2005983,T1512,96.2600000000,
10年国债主连,financial,2015-07-17,2005984,T1603,96.5250000000,
10年国债主连,financial,2015-07-20,2005982,T1509,95.7500000000,1.0000000000
10年国债主连,financial,2015-07-20,2005983,T1512,96.2200000000,
10年国债主连,financial,2015-07-20,2005984,T1603,96.5400000000,
10年国债主连,financial,2015-07-21,2005982,T1509,95.5400000000,1.0000000000
10年国债主连,financial,2015-07-21,2005983,T1512,95.9800000000,
10年国债主连,financial,2015-07-21,2005984,T1603,96.2550000000,
10年国债主连,financial,2015-07-22,2005982,T1509,95.6300000000,1.0000000000
10年国债主连,financial,2015-07-22,2005983,T1512,96.0450000000,
10年国债主连,financial,2015-07-22,2005984,T1603,96.3100000000,
10年国债主连,financial,2015-07-23,2005982,T1509,95.9100000000,1.0000000000
10年国债主连,financial,2015-07-23,2005983,T1512,96.3350000000,
10年国债主连,financial,2015-07-23,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-07-24,2005982,T1509,95.8600000000,1.0000000000
10年国债主连,financial,2015-07-24,2005983,T1512,96.3600000000,
10年国债主连,financial,2015-07-24,2005984,T1603,96.7000000000,
10年国债主连,financial,2015-07-27,2005982,T1509,96.0400000000,1.0000000000
10年国债主连,financial,2015-07-27,2005983,T1512,96.4500000000,
10年国债主连,financial,2015-07-27,2005984,T1603,96.6900000000,
10年国债主连,financial,2015-07-28,2005982,T1509,96.0300000000,1.0000000000
10年国债主连,financial,2015-07-28,2005983,T1512,96.5000000000,
10年国债主连,financial,2015-07-28,2005984,T1603,96.7600000000,
10年国债主连,financial,2015-07-29,2005982,T1509,96.1100000000,1.0000000000
10年国债主连,financial,2015-07-29,2005983,T1512,96.5500000000,
10年国债主连,financial,2015-07-29,2005984,T1603,96.8350000000,
10年国债主连,financial,2015-07-30,2005982,T1509,95.9800000000,1.0000000000
10年国债主连,financial,2015-07-30,2005983,T1512,96.4400000000,
10年国债主连,financial,2015-07-30,2005984,T1603,96.8000000000,
10年国债主连,financial,2015-07-31,2005982,T1509,95.5450000000,1.0000000000
10年国债主连,financial,2015-07-31,2005983,T1512,96.0450000000,
10年国债主连,financial,2015-07-31,2005984,T1603,96.3100000000,
10年国债主连,financial,2015-08-03,2005982,T1509,95.5550000000,1.0000000000
10年国债主连,financial,2015-08-03,2005983,T1512,96.0300000000,
10年国债主连,financial,2015-08-03,2005984,T1603,96.3800000000,
10年国债主连,financial,2015-08-04,2005982,T1509,95.7100000000,1.0000000000
10年国债主连,financial,2015-08-04,2005983,T1512,96.1250000000,
10年国债主连,financial,2015-08-04,2005984,T1603,96.5800000000,
10年国债主连,financial,2015-08-05,2005982,T1509,95.6050000000,1.0000000000
10年国债主连,financial,2015-08-05,2005983,T1512,96.0100000000,
10年国债主连,financial,2015-08-05,2005984,T1603,96.3700000000,
10年国债主连,financial,2015-08-06,2005982,T1509,95.8750000000,1.0000000000
10年国债主连,financial,2015-08-06,2005983,T1512,96.2050000000,
10年国债主连,financial,2015-08-06,2005984,T1603,96.6000000000,
10年国债主连,financial,2015-08-07,2005982,T1509,95.9150000000,1.0000000000
10年国债主连,financial,2015-08-07,2005983,T1512,96.2500000000,
10年国债主连,financial,2015-08-07,2005984,T1603,96.7150000000,
10年国债主连,financial,2015-08-10,2005982,T1509,95.6750000000,1.0000000000
10年国债主连,financial,2015-08-10,2005983,T1512,95.9750000000,
10年国债主连,financial,2015-08-10,2005984,T1603,96.4500000000,
10年国债主连,financial,2015-08-11,2005982,T1509,95.1900000000,1.0000000000
10年国债主连,financial,2015-08-11,2005983,T1512,95.4550000000,
10年国债主连,financial,2015-08-11,2005984,T1603,95.9400000000,
10年国债主连,financial,2015-08-12,2005982,T1509,95.3300000000,1.0000000000
