10年国债主连,30年国债主连,PTA主连,date,中证1000主连,原油主连,方案名称,沪深300主连,沪金主连,沪铜主连,沪铝主连,策略名称,红利低波ETF,股指期货仓位,股指期货信号,股指期货目标仓位,豆粕主连
0.38728023984128096,0.2566480414186605,0.03249725003047951,2023-06-30,0.0,0.021532880520776426,固定仓位_25%,0.0,0.09576002751983172,0.05859835053606756,0.04661867923859733,风险平价策略,0.04761545569712833,0.0,-1.0,0.0,0.05344907519717773
0.3810435477708753,0.25142719302777605,0.03381069887707269,2023-07-07,0.0,0.02252103755307631,固定仓位_25%,0.0,0.10057569369878568,0.059568577410961956,0.04619943116114886,风险平价策略,0.04928786562056548,0.0,-1.0,0.0,0.055565954879737686
0.38076378695005064,0.2512757872651491,0.03419647282616421,2023-07-14,0.0,0.022830838775262586,固定仓位_25%,0.0,0.0995624604972182,0.05976252454900712,0.04667110230565659,风险平价策略,0.049952516754022236,0.0,-1.0,0.0,0.054984510077469406
0.3869120133304056,0.2556714675305617,0.03107225773576298,2023-07-21,0.0,0.022134682335869363,固定仓位_25%,0.0,0.09735296331575105,0.05686982884935559,0.0470875653323121,风险平价策略,0.04789190185899805,0.0,-1.0,0.0,0.05500731971098354
0.3318362386545915,0.2151683330809972,0.04063828789818237,2023-07-28,0.0,0.030045580285286054,固定仓位_25%,0.0,0.11021580740317191,0.07420445905284588,0.06254090318997439,风险平价策略,0.06465719411527736,0.0,-1.0,0.0,0.07069319631967341
0.349058193063392,0.22545800293828086,0.033398198247997134,2023-08-04,0.0,0.027863163352417723,固定仓位_25%,0.0,0.10568169891609765,0.06313989009044839,0.06561703967952037,风险平价策略,0.06650931534521298,0.0,-1.0,0.0,0.06327449836663282
0.3558962875681227,0.22705146916026095,0.03389413929893926,2023-08-11,0.0,0.028447528499842556,固定仓位_25%,0.0,0.10683932880376464,0.06074341802939836,0.06614173927628966,风险平价策略,0.06059175552784455,0.0,-1.0,0.0,0.06039433383553731
0.364364835386014,0.22194836561131895,0.03233009747300278,2023-08-18,0.0,0.02871551157877221,固定仓位_25%,0.0,0.10986647244922985,0.05632921697098283,0.06393822026424657,风险平价策略,0.06032806811875262,0.0,-1.0,0.0,0.062179212147680095
0.35589255637432743,0.22658982655303772,0.03519366280426047,2023-08-25,0.0,0.0270884725572747,固定仓位_25%,0.0,0.11266404570210656,0.06102080511941951,0.06745238149486864,风险平价策略,0.06213682694013724,0.0,-1.0,0.0,0.05196142245456776
0.3299259868836371,0.2093364149296279,0.037735241095670204,2023-09-01,0.0,0.030185176418921825,固定仓位_25%,0.0,0.126666108600533,0.06850511946843452,0.07606263860923894,风险平价策略,0.06698761192165338,0.0,-1.0,0.0,0.05459570207228296
0.3388373173736235,0.17073121818041498,0.03751009773350935,2023-09-08,0.0,0.03927362251817294,固定仓位_25%,0.0,0.16092780339206564,0.06991306833253942,0.06085611551777716,风险平价策略,0.07484534189486011,0.0,-1.0,0.0,0.047105415057036915
0.33380810013782325,0.15728678443378732,0.04033661579681613,2023-09-15,0.0,0.042447251516102805,固定仓位_25%,0.0,0.15778318937804417,0.07528053810663304,0.06450395214616689,风险平价策略,0.08090612036538404,0.0,-1.0,0.0,0.047647448119242396
0.3338119341249973,0.1542623103084932,0.04035174753767088,2023-09-22,0.0,0.04429477959417894,固定仓位_25%,0.0,0.15613590389435017,0.07086829714218482,0.07027911184545889,风险平价策略,0.08581764880613456,0.0,-1.0,0.0,0.04417826674653129
0.3601718799060098,0.1614393661036609,0.039606682952212736,2023-09-28,0.0,0.04404221022070211,固定仓位_25%,0.0,0.11700271046259982,0.06880658315260427,0.07365506483425362,风险平价策略,0.08890412782184853,0.0,-1.0,0.0,0.04637137454610827
0.4048052870753996,0.19123762051325435,0.03115302380882312,2023-10-13,0.0,0.0245071951557615,固定仓位_25%,0.0,0.09024160302702844,0.07505151939561537,0.06324529903599034,风险平价策略,0.08474565266334391,0.0,-1.0,0.0,0.03501279932478345
0.3743424770806367,0.19167581893893576,0.03541314590706281,2023-10-20,0.0,0.02798163849436952,固定仓位_25%,0.0,0.10819207984856608,0.07732989761110945,0.06884354532862871,风险平价策略,0.07440565582944669,0.0,-1.0,0.0,0.04181574096124423
0.38498873480718754,0.19021905502055014,0.035494440760580066,2023-10-27,0.0,0.026714517751972193,固定仓位_25%,0.0,0.11014153328405858,0.0759677098965554,0.06944706735384057,风险平价策略,0.06504619489979314,0.0,-1.0,0.0,0.0419807462254625
0.3873844289350806,0.19201889500954458,0.03590950760563058,2023-11-03,0.0,0.025789197830685152,固定仓位_25%,0.0,0.10941922592128404,0.07710294478087074,0.07045511469058202,风险平价策略,0.06133799690232546,0.0,-1.0,0.0,0.04058268832399673
0.39484231785936913,0.20138903054607382,0.03637906138155622,2023-11-10,0.0,0.02208875268539839,固定仓位_25%,0.0,0.0972278919540099,0.07557208877195778,0.06908296820389748,风险平价策略,0.06352461068236669,0.0,-1.0,0.0,0.039893277915370666
0.3980604128046316,0.20343807719429358,0.037209325892417336,2023-11-17,0.0,0.019515446645620188,固定仓位_25%,0.0,0.09831472841954052,0.07863910438353185,0.06396744946884536,风险平价策略,0.06414777076483602,0.0,-1.0,0.0,0.03670768442628357
0.3691516959602294,0.1920650220571722,0.037254522430123095,2023-11-24,0.0,0.022296097234677723,固定仓位_25%,0.0,0.10132263504057443,0.09192192372133923,0.07148605473600543,风险平价策略,0.07602503421749165,0.0,-1.0,0.0,0.038477014602386964
0.37230303392114145,0.19416242320869853,0.03371493217615655,2023-12-01,0.0,0.020921739106449747,固定仓位_25%,0.0,0.1095302914315683,0.09636705708655874,0.06559175166256524,风险平价策略,0.07117638743560031,0.0,0.0,0.0,0.03623238397126109
0.3955306373215662,0.2069368161651529,0.0364616132375774,2023-12-08,0.0,0.02009084830168322,固定仓位_25%,0.0,0.09139085184306557,0.08206439854296389,0.06455998229008245,风险平价策略,0.06339584945426598,0.0,0.0,0.0,0.039569002843642384
0.4033055564253225,0.21371674106729135,0.030964330299084773,2023-12-15,0.0,0.017061679363784367,固定仓位_25%,0.0,0.0896221179677573,0.08047841611063843,0.06377579734460208,风险平价策略,0.061862681329071155,0.0,0.0,0.0,0.0392126800924481
0.399608164207431,0.21660296372609614,0.03131908989259867,2023-12-22,0.0,0.0172652619671996,固定仓位_25%,0.0,0.090151173999174,0.08102709293056139,0.0644164862574852,风险平价策略,0.061530303811926354,0.0,0.0,0.0,0.03807946320752762
0.40828537601463416,0.20851331295248116,0.03149572958994635,2023-12-29,0.0,0.01547051882050229,固定仓位_25%,0.0,0.0896232374274772,0.07828454648607709,0.06768831655770106,风险平价策略,0.064244686247063,0.0,0.0,0.0,0.036394275904117604
0.41004903808168264,0.21820532942046297,0.03183380420428304,2024-01-05,0.0,0.014918132650299797,固定仓位_25%,0.0,0.09184862407120664,0.07620587037754113,0.053339131709446964,风险平价策略,0.06912827204858091,0.0,0.0,0.0,0.03447179743649592
0.3916410953342021,0.2102684612773084,0.033026042988321645,2024-01-12,0.0,0.01773103026519362,固定仓位_25%,0.0,0.10496720575372041,0.08356644562751023,0.05929843970772802,风险平价策略,0.0665095992808413,0.0,0.0,0.0,0.03299167976517436
0.3987769223700329,0.22320784474189018,0.03483902307392958,2024-01-19,0.0,0.017625162062435265,固定仓位_25%,0.0,0.0971138339662347,0.08152854237023147,0.057263214570530886,风险平价策略,0.057430573900806185,0.0,0.0,0.0,0.0322148829439088
0.40434416601137746,0.22332696318261744,0.03637624581249907,2024-01-26,0.0,0.01791681593346018,固定仓位_25%,0.0,0.09404439175305478,0.08613103886113889,0.05633173648010895,风险平价策略,0.04943268306110304,0.0,0.0,0.0,0.03209595890464023
0.41984434010919175,0.21125778112098592,0.033539465460631045,2024-02-02,0.0,0.017105976297342004,固定仓位_25%,0.0,0.10584131490328658,0.07963245630101377,0.05447288681859185,风险平价策略,0.046161959161913346,0.0,0.0,0.0,0.03214381982704377
0.38378903482737503,0.1670024669754131,0.04388079796218925,2024-02-08,0.0,0.021718083122412045,固定仓位_25%,0.0,0.12294980772615356,0.08633725997601505,0.0713227665714509,风险平价策略,0.060327963989319916,0.0,0.0,0.0,0.04267181884967123
0.38959918323478004,0.16940089759229426,0.04300981783147551,2024-02-23,0.0,0.022007370828757138,固定仓位_25%,0.0,0.11692632161953527,0.08840643182627295,0.06704877901231521,风险平价策略,0.061709063052175536,0.0,0.0,0.0,0.041892135002394
0.3487541626889209,0.14622162875995606,0.04685276701478034,2024-03-01,0.0,0.02546046915140071,固定仓位_25%,0.0,0.1462804607216072,0.0996111384399685,0.07913506053278321,风险平价策略,0.056431760908668575,0.0,0.0,0.0,0.051252551781914596
0.35416571195208,0.13790137162656785,0.043263343236230475,2024-03-08,0.0,0.024983911914790168,固定仓位_25%,0.0,0.14907395531188325,0.10005323491033115,0.08107955721157552,风险平价策略,0.057718639638356495,0.0,0.0,0.0,0.051760274198185
0.35537434063866663,0.10628671083773528,0.04950648066494049,2024-03-15,0.0,0.02749343171418636,固定仓位_25%,0.0,0.1585083042372565,0.10534962531303664,0.09183118295286034,风险平价策略,0.0480663199597956,0.0,0.0,0.0,0.0575836036815222
0.3546285437285738,0.10470518133058333,0.06206920719946434,2024-03-22,0.0,0.03180679484331105,固定仓位_25%,0.0,0.13835748130970002,0.08675260703415527,0.10834079264609822,风险平价策略,0.06123857845524075,0.0,0.0,0.0,0.05210081345287326
0.35631447209207484,0.10524854642754043,0.06265396746676498,2024-03-29,0.0,0.03155631485532686,固定仓位_25%,0.0,0.14047082238034778,0.08680730055363613,0.10716767469273177,风险平价策略,0.060660747477438375,0.0,-1.0,0.0,0.049120154054138845
0.3368666843470119,0.10255771300664826,0.06520404398840944,2024-04-03,0.0,0.03275656684510204,固定仓位_25%,0.0,0.14655481446431146,0.09110805498422206,0.11138396176243208,风险平价策略,0.06339833058040253,0.0,-1.0,0.0,0.050169830021460304
0.35606095808368954,0.09606593992510158,0.06360818124291907,2024-04-12,0.0,0.0346486608730177,固定仓位_25%,0.0,0.1336016490486464,0.08723304943813805,0.11415224068090438,风险平价策略,0.06616919838427382,0.0,-1.0,0.0,0.048460122323309596
0.3846585796834072,0.10497572967386792,0.06242224277540072,2024-04-19,0.0,0.032039709659552766,固定仓位_25%,0.0,0.11821139248083042,0.09460476852223083,0.08362609765213438,风险平价策略,0.07203593198822025,0.0,-1.0,0.0,0.04742554756435553
0.40237651805487323,0.11787698431996145,0.08098513117784252,2024-04-26,0.0,0.03886985696103496,固定仓位_25%,0.0,0.06872396979935554,0.08515729110274234,0.0861198326254496,风险平价策略,0.0562866775778939,0.0,-1.0,0.0,0.06360373838084649
