日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2025-01-03,3513.3769202370,109.5194798839,641.5219803373,2654.4176166835,4761.3823192513,119.3589253852,73358.4587667573,19893.9025917028,5132.0701252038,511.1252521192
2025-01-06,3499.6266615054,109.5495016711,638.4429358368,2663.3051756680,4737.8505097446,119.8754586842,74042.5475210277,19618.1554539650,5127.9479805249,515.5030072938
2025-01-07,3524.3399643609,109.4594363094,638.4429358368,2613.9298479767,4801.8434881154,119.4781253773,74917.7787213441,19733.4678933826,5043.4440146079,518.8086591603
2025-01-08,3517.2790206879,109.5044689903,641.5015893142,2612.9423414228,4773.7407515822,119.4880587099,74927.8388500834,19768.5629836402,5051.6883039656,526.3133823168
2025-01-09,3507.8024910215,109.2692983235,645.2739286029,2583.3171448081,4774.2486323629,118.8225254209,75370.4845146113,19968.8016565563,5216.5740911208,518.6299752757
2025-01-10,3467.8524149769,109.2392765362,649.3317422161,2625.7799266226,4681.3064494911,118.9615920783,75722.5890204858,20189.0641967640,5195.9633677264,525.5986467781
2025-01-13,3461.1630999183,109.0791603376,651.2077163489,2706.7554640363,4704.3303782171,119.1503253991,76004.2726251853,20279.1715995762,5319.6277080927,559.5485848668
2025-01-14,3547.7525670661,109.2192620114,645.9876144143,2718.6055426822,4925.5971050175,119.1503253991,75913.8152787655,20324.2253009823,5319.6277080927,554.3616814130
2025-01-15,3527.4988075830,109.3993927349,649.2909601698,2737.3681672049,4888.6911016185,119.7959920228,75632.3924232372,20209.0880640556,5358.7880825421,570.2863849992
2025-01-16,3525.6406645112,109.3893854725,651.6155368126,2726.5055951128,4906.9748097245,119.7562586921,76647.5248663929,20324.2253009823,5447.4141931380,576.8382630461
2025-01-17,3548.1241956804,109.1141857560,653.2060366208,2744.2807130817,4953.3612543636,119.1602587318,76928.9477219212,20494.4281729610,5410.3148910281,574.9272986157
2025-01-20,3566.3904370745,109.1291966496,652.3088316008,2776.8684293579,4984.7256671377,119.0013254090,75783.1546672702,20429.3506042633,5338.1773591477,566.0094646074
2025-01-21,3569.3726805674,109.3193346356,652.2884405776,2813.4061718495,5012.8513633753,119.6469920327,76014.3234414542,20439.3625379091,5350.5437931843,564.8264866268
2025-01-22,3532.4674173427,109.2292692738,658.0794911613,2808.4686390803,4979.9528217155,119.5675253713,75903.7644624966,20339.2432014510,5303.1391293772,562.6425272778
2025-01-23,3538.8046847651,109.1842365929,658.8339590191,2800.5685866497,4950.9748316525,119.4284587139,75340.9187514400,20154.0224290036,5224.8183804785,554.1796848005
2025-01-24,3578.8785817010,109.1942438554,661.5867471487,2804.5186128650,5066.8867919046,119.7264586941,76255.5430319070,20424.3446374404,5177.4137166714,550.9947440833
2025-01-27,3538.9910749834,109.4194072597,660.2001575723,2786.7434948962,4965.2933679189,120.4317253138,75923.8660950344,20264.1536991075,5144.4365592404,548.1737965909
2025-02-05,3532.0946369061,109.5144762527,683.7517893478,2895.3692158170,4999.5555796993,120.8787252840,75672.5956883126,20239.1238649930,5142.3754869010,550.9947440833
2025-02-06,3581.3172395319,109.6145488768,681.5291678210,2865.7440192022,5133.6268551469,121.2859919236,76868.6428243080,20359.2670687426,5142.3754869010,545.1708524860
2025-02-07,3633.7094794480,109.4844544654,682.9973214901,2872.6565650790,5225.1793629333,120.9979252761,77642.5556770109,20624.5833103564,5261.9176825884,549.4477728778
2025-02-10,3634.8281749622,109.3043237419,692.3568011307,2862.7814995408,5266.4980040878,120.5211253078,77763.1654722373,20574.5236421274,5336.1162868083,552.3597186764
2025-02-11,3620.0986840249,109.3843818413,699.1470118504,2863.7690060946,5257.5827786105,120.9979252761,77542.0475143222,20699.6728127000,5338.1773591477,564.0075018709
2025-02-12,3652.9137524421,109.2242656426,694.5386406112,2818.3437046186,5334.5623216743,120.8191252880,77391.2852702892,20599.5534762419,5336.1162868083,564.9174849330
2025-02-13,3645.0828838426,109.1942438554,697.9439414827,2809.4561456342,5293.4151271636,121.0773919374,77954.1309813459,20579.5636135770,5228.9405251574,539.6199558074
2025-02-14,3677.1521552503,108.9390586637,701.8590179337,2846.9813946795,5319.3035703766,120.4515919791,78486.8242435959,20734.4850492304,5261.9176825884,541.8158615016
2025-02-17,3680.6946910453,108.7739388339,690.3380898357,2813.4061718495,5331.3048354422,119.4542284619,77421.4377190958,20649.5281329043,5288.7116230011,532.6503420824
2025-02-18,3652.7273031898,108.6738662097,696.1699224658,2822.2937308339,5237.8664145741,119.3445184750,77240.5230262562,20654.5255985706,5303.1391293772,536.3738343464
2025-02-19,3672.4909239410,108.7639315715,701.2472872382,2865.7440192022,5349.1352863969,119.5739120839,77471.6918004402,20689.5078582343,5309.3223463955,539.8109041287
2025-02-20,3660.7446210417,108.4537064365,703.4902997883,2892.4066961555,5361.4794447501,118.7760212701,78014.4358789591,20819.4419655565,5309.3223463955,538.4742658800
2025-02-21,3711.8317161912,108.1936256058,697.8215953436,2908.2068010167,5485.4353682137,117.6988686715,77332.9995732726,20814.4444998903,5263.9787549279,536.5647826677
