Date,增长预期动量,通胀预期动量
2023-08-04,1.0,1.0
2023-08-11,1.0,1.0
2023-08-18,0.8170569373617352,0.9224576479517047
2023-08-25,0.24102992523286298,0.31470151688416964
2023-09-01,-0.918790687790277,-0.7267613523507117
2023-09-08,-0.35341168407400353,-0.7060319332886944
2023-09-15,0.12781023835862815,-0.4173299346790691
2023-09-22,0.7138662014107355,0.5665010991391761
2023-09-29,1.0,1.0
2023-10-06,1.0,0.46401592342449594
2023-10-13,1.0,-0.0535114158577592
2023-10-20,0.9999999999999998,-0.7622049058710096
2023-10-27,1.0,-1.0
2023-11-03,1.0,-0.5458297046206376
2023-11-10,0.5830638673386477,-0.09583649584766199
2023-11-17,-0.14929440221485743,0.5014315091670349
2023-11-24,-0.5600965548756353,1.0
2023-12-01,-1.0,1.0
2023-12-08,-1.0,1.0
2023-12-15,-1.0,1.0
2023-12-22,-1.0,0.5304663089449804
2023-12-29,-1.0,0.14503093139193315
2024-01-05,-1.0,-0.08427902024010063
2024-01-12,-1.0,-0.11029358675704345
2024-01-19,-1.0,-0.25009354369601106
2024-01-26,-1.0,-0.46428317279419395
2024-02-02,-1.0,-0.959679933029312
2024-02-09,-1.0,-0.34393243000272006
2024-02-16,-0.7518178996787654,0.39599565604943043
2024-02-23,-0.22335919588836378,0.7220566688757405
2024-03-01,0.7326403491377738,0.9673091551357198
2024-03-08,1.0,0.4123286931453929
2024-03-15,1.0,-0.6666397264666387
2024-03-22,1.0,-1.0
2024-03-29,1.0,-1.0
2024-04-05,1.0,-1.0
2024-04-12,0.7871571347850539,0.15842600089410647
2024-04-19,0.14107020216612226,0.6333172949529249
2024-04-26,0.4087142679840944,0.9489807484521836
2024-05-03,0.6438285089167969,1.0
2024-05-10,0.8396362627097744,1.0
2024-05-17,1.0,1.0
2024-05-24,1.0,1.0
2024-05-31,1.0,1.0
2024-06-07,1.0,1.0
2024-06-14,0.6748302030926024,1.0
2024-06-21,-0.21325088237508508,1.0
2024-06-28,-0.8683157516614167,0.3448939503886665
2024-07-05,-0.9999999999999999,-0.17117298086812224
2024-07-12,-0.9999999999999999,-0.9851064535437981
2024-07-19,-1.0,-1.0
2024-07-26,-1.0,-0.9999999999999999
2024-08-02,-1.0,-1.0
2024-08-09,-1.0,-1.0
2024-08-16,-1.0,-1.0
2024-08-23,-0.6147131408252345,-1.0
2024-08-30,0.009549155676790459,-1.0
2024-09-06,0.7727357901193322,-1.0
2024-09-13,0.6060953370207202,-1.0
2024-09-20,0.06249744185641066,-1.0
2024-09-27,-0.21200598347843902,-1.0
2024-10-04,0.3958592422662681,-0.5651952809056001
2024-10-11,0.734707026044427,-0.13409311716946065
2024-10-18,1.0,0.43375809532271875
2024-10-25,1.0,1.0
2024-11-01,0.7534365643855727,0.6013720748196177
2024-11-08,0.5437635503903335,0.3375172000900039
2024-11-15,-0.5347732328108852,-0.4332399579017313
2024-11-22,-0.9895274849304441,-1.0
2024-11-29,-0.9911373448718376,-1.0
2024-12-06,-1.0,-1.0
2024-12-13,-1.0,-0.7243758436248345
2024-12-20,-1.0000000000000002,-0.7303238353695974
2024-12-27,-1.0,-0.7284973935885215
2025-01-03,-1.0,-0.732180289611025
2025-01-10,-1.0,-1.0
2025-01-17,-0.5880343323014552,-0.31578119624432455
2025-01-24,-0.09287312925329588,0.23165374173387973
2025-01-31,0.5577642006086145,0.7622196654230133
2025-02-07,1.0,1.0
2025-02-14,1.0,0.4104118481905089
2025-02-21,1.0,0.06313540712474401
2025-02-28,1.0,-0.6580796647550747
2025-03-07,1.0,-1.0
2025-03-14,1.0,-0.9428233230246986
2025-03-21,1.0000000000000002,-0.939435350455289
2025-03-28,1.0,-0.20910142281374244
2025-04-04,0.9660091597835057,0.7259823684489065
2025-04-11,-0.020840605242724766,-0.049814824756775254
2025-04-18,-0.6787779230576657,-0.31806703041705253
2025-04-25,-1.0,-0.7555622195494062
2025-05-02,-1.0000000000000002,-1.0
2025-05-09,-0.9915549961335042,-1.0
2025-05-16,-0.9886704623503386,-1.0
2025-05-23,-0.9828034647468624,-1.0
2025-05-30,-0.5246095525694238,-1.0
2025-06-06,-0.09925943386891146,-1.0
2025-06-13,0.6337945376842469,-1.0
2025-06-20,1.0,-0.18814171334016241
2025-06-27,0.9999999999999999,0.8024163541677659
2025-07-04,0.9999999999999999,0.9236360968355635
2025-07-11,1.0,1.0
2025-07-18,1.0,1.0
2025-07-25,1.0,1.0
2025-08-01,1.0,1.0
2025-08-08,1.0,1.0
2025-08-15,1.0,1.0
2025-08-22,0.9752150092677662,1.0
2025-08-29,0.8398181573546984,0.8669461188915171
2025-09-05,0.6998563553512919,0.8245571889679093
2025-09-12,0.636427575009009,0.6277546379609835
2025-09-19,0.8296027332950003,0.5231097419004814
2025-09-26,1.0,1.0
2025-10-03,0.03034121160773741,-0.47967169542376425
2025-10-10,-0.5163218216038828,-0.6864174848892338
2025-10-17,-0.95068208392171,-0.8616673702006556
2025-10-24,-0.9411295721837633,-1.0
2025-10-31,-0.3855049620412477,-0.5407326735431092
2025-11-07,0.12341437740746437,-0.0902462693706314
2025-11-14,1.0,0.7097456384689029
2025-11-21,1.0,1.0
2025-11-28,1.0,1.0
2025-12-05,1.0,1.0
2025-12-12,1.0,0.6888798885465622
2025-12-19,1.0,0.2176454376542263
2025-12-26,1.0,-0.19206758117299122
2026-01-02,1.0,-1.0
2026-01-09,1.0,-1.0
2026-01-16,1.0,-0.6323872564128624
2026-01-23,1.0,-0.5685105342841641
2026-01-30,1.0,0.27451632124964676
2026-02-06,0.605593534908817,0.5632544735180915
2026-02-13,-0.20402356917414097,0.7016366405252304
2026-02-20,-0.7357635807259,1.0
2026-02-27,-1.0,1.0
2026-03-06,-1.0,1.0
2026-03-13,-1.0,1.0
2026-03-20,-1.0,1.0
2026-03-27,-1.0,1.0
2026-04-03,-1.0,1.0
