,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2017-09-04,1.4392615965335862,1.475149761856247,1.9373040323283395
2017-09-05,1.439095923455444,1.4762529422484891,1.9388274527587006
2017-09-06,1.4387950300473653,1.476784585571037,1.9390038386116126
2017-09-07,1.4366632287193795,1.4747365227511562,1.9362913450340653
2017-09-08,1.4316857668976184,1.4702181445110776,1.930174566796172
2017-09-11,1.4323229587305917,1.4694951707620842,1.9307141450881464
2017-09-12,1.4362936551599677,1.4716067510598063,1.933981144386462
2017-09-13,1.4343583838786202,1.4697009242978585,1.9324201733166557
2017-09-14,1.433525463062271,1.468853165221604,1.9310075233611668
2017-09-15,1.4324533298306052,1.4696086369515948,1.9313757373288285
2017-09-18,1.4318732933689007,1.4669495566905404,1.9299538084651295
2017-09-19,1.4329129611152238,1.467372636856996,1.930032779840658
2017-09-20,1.438275756918911,1.4723058748394633,1.9366897827778036
2017-09-21,1.4349720763526737,1.4680685483119724,1.9312501529764041
2017-09-22,1.4334600380298865,1.4673991435151401,1.930896971459312
2017-09-25,1.4365905355656436,1.473179565540292,1.9360392279094725
2017-09-26,1.4386207644498608,1.4777365282887398,1.9406040501933794
2017-09-27,1.4377278729578629,1.474841726954761,1.9381512474923899
2017-09-28,1.434334539022195,1.4691085052666124,1.9314178584878074
2017-09-29,1.4366269509569387,1.4706554547630684,1.9341785955817667
2017-10-09,1.4456577875644292,1.4779016012799138,1.9402017860527623
2017-10-10,1.447062573622828,1.478276810797952,1.9397209577494952
2017-10-11,1.4465932794395586,1.4769114382290496,1.9369431640203767
2017-10-12,1.446163831772092,1.477262343634415,1.9371451260784451
2017-10-13,1.4526127681371033,1.4844822103372683,1.9464979245272633
2017-10-16,1.4528597915287238,1.4880371334515838,1.9536769025590701
2017-10-17,1.4504168996350169,1.4856852254914983,1.9502594320314413
2017-10-18,1.4494514934839255,1.4833365706928956,1.9450745833852536
2017-10-19,1.4477491413469532,1.4809034573420883,1.9419453260147805
2017-10-20,1.4505053587485142,1.484244522508235,1.9460081902861743
2017-10-23,1.449624292118949,1.48166948155466,1.9410897063975254
2017-10-24,1.4527883876954317,1.4854247127565992,1.9456181747217234
2017-10-25,1.4506218681784917,1.4823573136912298,1.939325088617896
2017-10-26,1.4535736204329461,1.4856227699943865,1.9434828945757008
2017-10-27,1.450434553319601,1.4813414293315479,1.9357048212957917
2017-10-30,1.441054229162948,1.4737170748869082,1.9264231110434487
2017-10-31,1.443358700111173,1.4768215579918313,1.9319413414897555
2017-11-01,1.4403448699025583,1.474639555783307,1.9276844597778804
2017-11-02,1.439237982984879,1.47423646573339,1.9264275723855708
2017-11-03,1.4411399177922972,1.478628615186531,1.9295838193374926
2017-11-06,1.4490442409903879,1.484187098650934,1.9379252833263336
