日期,T-1原始信号,标准化信号,股指总仓位,沪深300主连权重,中证1000主连权重,闲置资金比例,逆回购日收益,换手率,交易成本,沪深300主连日收益,中证1000主连日收益,策略日收益,基准沪深300主连权重,基准中证1000主连权重,基准日收益,策略净值,基准净值,超额净值,当日超额收益
2020-11-12,1.0,1.0,1.0,1.0,0.0,0.0,8.03972602739726e-05,0.0,0.0,-0.001469387755,0.0,-0.001469387755,1.0,0.0,-0.001469387755,1.64898005702045,1.2789784581682366,1.2892946292325618,0.0
2020-11-13,1.0,1.0,1.0,1.0,0.0,0.0,8.53013698630137e-05,0.0,0.0,-0.011363636364,0.0,-0.011363636364,1.0,0.0,-0.011363636364,1.6302416472809818,1.2644446120522235,1.2892946292325618,0.0
2020-11-16,1.0,1.0,1.0,1.0,0.0,0.0,0.0002675205479452054,0.0,0.0,0.010501943273,0.0,0.010501943273,1.0,0.0,0.010501943273,1.6473623525820087,1.2777237376398465,1.2892946292325616,0.0
2020-11-17,1.0,1.0,1.0,1.0,0.0,0.0,7.889041095890411e-05,0.0,0.0,-0.0024549918170000003,0.0,-0.0024549918170000003,1.0,0.0,-0.0024549918170000003,1.643318091486786,1.2745869363195539,1.2892946292325618,0.0
2020-11-18,1.0,1.0,1.0,1.0,0.0,0.0,6.935616438356164e-05,0.0,0.0,-0.000574241181,0.0,-0.000574241181,1.0,0.0,-0.000574241181,1.642374430565172,1.2738550160119546,1.2892946292325618,0.0
2020-11-19,1.0,1.0,1.0,1.0,0.0,0.0,6.387671232876712e-05,0.0,0.0,0.010793728967,0.0,0.010793728967,1.0,0.0,0.010793728967,1.6601017750310232,1.287604661798041,1.2892946292325616,0.0
2020-11-20,1.0,1.0,1.0,1.0,0.0,0.0,6.22054794520548e-05,0.0,0.0,0.0023143448780000003,0.0,0.0023143448780000003,1.0,0.0,0.0023143448780000003,1.663943823071025,1.2905846230519624,1.2892946292325616,0.0
2020-11-23,1.0,1.0,1.0,1.0,0.0,0.0,0.00018836986301369864,0.0,0.0,0.011707040428,0.0,0.011707040428,1.0,0.0,0.011707040428,1.6834236806776384,1.3056935494097868,1.2892946292325616,0.0
2020-11-24,1.0,1.0,1.0,1.0,0.0,0.0,6.960273972602741e-05,0.0,0.0,-0.004644644645,0.0,-0.004644644645,1.0,0.0,-0.004644644645,1.6756047758939128,1.2996290668575095,1.2892946292325618,0.0
2020-11-25,1.0,1.0,1.0,1.0,0.0,0.0,7.280821917808219e-05,0.0,0.0,-0.012430105797,0.0,-0.012430105797,1.0,0.0,-0.012430105797,1.654776831255593,1.2834745400596141,1.2892946292325618,0.0
2020-11-26,1.0,1.0,1.0,1.0,0.0,0.0,4.4863013698630135e-05,0.0,0.0,0.0008146639510000001,0.0,0.0008146639510000001,1.0,0.0,0.0008146639510000001,1.656124918286967,1.284520140499427,1.2892946292325618,0.0
2020-11-27,1.0,1.0,1.0,1.0,0.0,0.0,5.0479452054794526e-05,0.0,0.0,0.015018315018,0.0,0.015018315018,1.0,0.0,0.015018315018,1.6809971240189605,1.3038114686164133,1.2892946292325618,0.0
2020-11-30,1.0,1.0,1.0,1.0,0.0,0.0,0.00021154794520547942,0.0,0.0,-0.005333012551000001,0.0,-0.005333012551000001,1.0,0.0,-0.005333012551000001,1.6720323452583723,1.2968582256901442,1.2892946292325618,0.0
2020-12-01,1.0,1.0,1.0,1.0,0.0,0.0,6.152054794520548e-05,0.0,0.0,0.022937998871,0.0,0.022937998871,1.0,0.0,0.022937998871,1.7103854213061842,1.3266055582068716,1.2892946292325618,0.0
2020-12-02,1.0,1.0,1.0,1.0,0.0,0.0,5.102739726027398e-05,0.0,0.0,-0.002088669951,0.0,-0.002088669951,1.0,0.0,-0.002088669951,1.7068129906720735,1.3238347170406153,1.2892946292325618,0.0
2020-12-03,1.0,1.0,1.0,1.0,0.0,0.0,8.08904109589041e-05,0.0,0.0,-0.000434404865,0.0,-0.000434404865,1.0,0.0,-0.000434404865,1.7060715428052804,1.323259636799077,1.2892946292325618,0.0
2020-12-04,1.0,1.0,1.0,1.0,0.0,0.0,7.226027397260275e-05,0.0,0.0,0.002014934218,0.0,0.002014934218,1.0,0.0,0.002014934218,1.709509164735235,1.3259259179205618,1.2892946292325618,0.0
2020-12-07,1.0,1.0,1.0,1.0,0.0,0.0,0.0001896849315068493,0.0,0.0,-0.008713823831,0.0,-0.008713823831,1.0,0.0,-0.008713823831,1.6946128030362522,1.314372033058845,1.2892946292325618,0.0
2020-12-08,1.0,1.0,1.0,1.0,0.0,0.0,6.091780821917808e-05,0.0,0.0,-0.002863847898,0.0,-0.002863847898,1.0,0.0,-0.002863847898,1.689759689722353,1.3106078714747795,1.289294629232562,0.0
2020-12-09,1.0,1.0,1.0,1.0,0.0,0.0,5.752054794520548e-05,0.0,0.0,-0.011927081256,0.0,-0.011927081256,1.0,0.0,-0.011927081256,1.6696057885999211,1.2949761448969468,1.2892946292325618,0.0
2020-12-10,1.0,1.0,1.0,1.0,0.0,0.0,5.9630136986301375e-05,0.0,0.0,-0.002058942269,0.0,-0.002058942269,1.0,0.0,-0.002058942269,1.6661681666692056,1.2923098637748718,1.2892946292325618,0.0
2020-12-11,1.0,1.0,1.0,1.0,0.0,0.0,6.154794520547945e-05,0.0,0.0,-0.011408228488000001,0.0,-0.011408228488000001,1.0,0.0,-0.011408228488000001,1.647160139524411,1.2775668975716319,1.2892946292325616,0.0
