decay,回测区间,组合/资产,区间净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
0.80,训练期 (2013-2020),全天候策略,1.7252,8.49%,7.62%,0.64,-9.23%,61.45%,17.75%
0.80,训练期 (2013-2020),全天候增强策略 (动量择时),2.3251,13.44%,9.50%,1.00,-12.17%,65.06%,18.32%
0.80,验证期 (2021-2026),风险平价策略,1.7059,11.20%,6.20%,1.40,-6.00%,71.43%,12.47%
0.80,验证期 (2021-2026),全天候策略,1.8720,13.27%,7.62%,1.40,-6.60%,71.43%,16.03%
0.80,验证期 (2021-2026),全天候增强策略 (动量择时),1.9904,14.66%,10.21%,1.18,-13.12%,71.43%,15.76%
0.83,全局 (Total),风险平价策略,3.4024,11.01%,6.61%,1.17,-8.83%,73.29%,14.53%
0.83,全局 (Total),全天候策略,3.2241,10.50%,7.59%,0.96,-9.57%,65.75%,17.01%
0.83,全局 (Total),全天候增强策略 (动量择时),4.6188,13.94%,9.81%,1.08,-13.14%,67.81%,17.19%
0.83,训练期 (2013-2020),风险平价策略,1.9988,10.91%,7.00%,1.00,-8.83%,73.49%,16.12%
0.83,训练期 (2013-2020),全天候策略,1.7159,8.41%,7.59%,0.63,-9.57%,61.45%,17.73%
0.83,训练期 (2013-2020),全天候增强策略 (动量择时),2.3231,13.43%,9.50%,1.00,-12.21%,65.06%,18.27%
0.83,验证期 (2021-2026),风险平价策略,1.7023,11.15%,6.06%,1.42,-5.73%,73.02%,12.42%
0.83,验证期 (2021-2026),全天候策略,1.8789,13.35%,7.59%,1.41,-6.56%,71.43%,16.04%
0.83,验证期 (2021-2026),全天候增强策略 (动量择时),1.9882,14.63%,10.21%,1.18,-13.14%,71.43%,15.75%
0.86,全局 (Total),风险平价策略,3.3430,10.84%,6.53%,1.16,-9.06%,73.29%,14.50%
0.86,全局 (Total),全天候策略,3.2240,10.50%,7.57%,0.97,-9.89%,67.12%,17.00%
0.86,全局 (Total),全天候增强策略 (动量择时),4.6071,13.92%,9.81%,1.07,-13.15%,67.81%,17.15%
0.86,训练期 (2013-2020),风险平价策略,1.9697,10.66%,6.95%,0.98,-9.06%,73.49%,16.10%
0.86,训练期 (2013-2020),全天候策略,1.7078,8.33%,7.56%,0.62,-9.89%,61.45%,17.72%
0.86,训练期 (2013-2020),全天候增强策略 (动量择时),2.3222,13.42%,9.51%,0.99,-12.26%,65.06%,18.21%
0.86,验证期 (2021-2026),风险平价策略,1.6972,11.09%,5.93%,1.44,-5.45%,73.02%,12.37%
0.86,验证期 (2021-2026),全天候策略,1.8878,13.46%,7.57%,1.42,-6.57%,74.60%,16.04%
0.86,验证期 (2021-2026),全天候增强策略 (动量择时),1.9839,14.59%,10.21%,1.17,-13.15%,71.43%,15.73%
0.89,全局 (Total),风险平价策略,3.2685,10.63%,6.45%,1.14,-9.35%,71.92%,14.45%
0.89,全局 (Total),全天候策略,3.2257,10.51%,7.54%,0.97,-10.20%,68.49%,17.00%
0.89,全局 (Total),全天候增强策略 (动量择时),4.5907,13.88%,9.82%,1.07,-13.17%,67.81%,17.11%
0.89,训练期 (2013-2020),风险平价策略,1.9356,10.37%,6.89%,0.95,-9.35%,72.29%,16.06%
0.89,训练期 (2013-2020),全天候策略,1.6993,8.25%,7.54%,0.61,-10.20%,62.65%,17.72%
0.89,训练期 (2013-2020),全天候增强策略 (动量择时),2.3213,13.41%,9.51%,0.99,-12.33%,65.06%,18.16%
0.89,验证期 (2021-2026),风险平价策略,1.6887,10.97%,5.81%,1.46,-5.18%,71.43%,12.30%
0.89,验证期 (2021-2026),全天候策略,1.8983,13.59%,7.55%,1.44,-6.57%,76.19%,16.04%
0.89,验证期 (2021-2026),全天候增强策略 (动量择时),1.9776,14.51%,10.22%,1.17,-13.17%,71.43%,15.70%
0.92,全局 (Total),风险平价策略,3.1654,10.33%,6.36%,1.11,-9.71%,70.55%,14.37%
0.92,全局 (Total),全天候策略,3.2215,10.49%,7.52%,0.97,-10.50%,65.75%,16.98%
0.92,全局 (Total),全天候增强策略 (动量择时),4.5645,13.83%,9.83%,1.07,-13.18%,68.49%,17.06%
0.92,训练期 (2013-2020),风险平价策略,1.8918,10.00%,6.82%,0.91,-9.71%,69.88%,15.99%
0.92,训练期 (2013-2020),全天候策略,1.6875,8.14%,7.52%,0.60,-10.50%,59.04%,17.71%
0.92,训练期 (2013-2020),全天候增强策略 (动量择时),2.3180,13.39%,9.52%,0.99,-12.45%,66.27%,18.11%
0.92,验证期 (2021-2026),风险平价策略,1.6732,10.77%,5.69%,1.45,-4.96%,71.43%,12.22%
0.92,验证期 (2021-2026),全天候策略,1.9090,13.71%,7.52%,1.46,-6.58%,74.60%,16.02%
0.92,验证期 (2021-2026),全天候增强策略 (动量择时),1.9692,14.42%,10.22%,1.16,-13.18%,71.43%,15.66%
0.95,全局 (Total),风险平价策略,3.0217,9.89%,6.25%,1.07,-10.05%,70.55%,14.24%
0.95,全局 (Total),全天候策略,3.2053,10.45%,7.49%,0.97,-10.88%,65.75%,16.96%
0.95,全局 (Total),全天候增强策略 (动量择时),4.5214,13.74%,9.84%,1.06,-13.18%,67.81%,17.00%
0.95,训练期 (2013-2020),风险平价策略,1.8349,9.50%,6.72%,0.85,-10.05%,71.08%,15.83%
0.95,训练期 (2013-2020),全天候策略,1.6707,7.97%,7.49%,0.58,-10.88%,59.04%,17.68%
0.95,训练期 (2013-2020),全天候增强策略 (动量择时),2.3081,13.32%,9.54%,0.98,-12.65%,65.06%,18.05%
0.95,验证期 (2021-2026),风险平价策略,1.6468,10.42%,5.56%,1.43,-4.87%,69.84%,12.13%
0.95,验证期 (2021-2026),全天候策略,1.9186,13.83%,7.49%,1.48,-6.59%,74.60%,15.99%
0.95,验证期 (2021-2026),全天候增强策略 (动量择时),1.9589,14.30%,10.23%,1.15,-13.18%,71.43%,15.60%
0.98,全局 (Total),风险平价策略,2.8634,9.39%,6.10%,1.02,-10.15%,67.81%,13.96%
0.98,全局 (Total),全天候策略,3.2019,10.44%,7.47%,0.97,-11.55%,66.44%,16.88%
0.98,全局 (Total),全天候增强策略 (动量择时),4.4547,13.59%,9.85%,1.04,-13.14%,67.12%,16.98%
0.98,训练期 (2013-2020),风险平价策略,1.7635,8.85%,6.60%,0.77,-10.15%,66.27%,15.42%
0.98,训练期 (2013-2020),全天候策略,1.6515,7.79%,7.47%,0.56,-11.55%,60.24%,17.56%
0.98,训练期 (2013-2020),全天候增强策略 (动量择时),2.2809,13.12%,9.58%,0.96,-13.08%,63.86%,18.03%
0.98,验证期 (2021-2026),风险平价策略,1.6237,10.11%,5.37%,1.42,-5.14%,69.84%,12.01%
0.98,验证期 (2021-2026),全天候策略,1.9387,14.06%,7.45%,1.52,-6.74%,74.60%,15.97%
0.98,验证期 (2021-2026),全天候增强策略 (动量择时),1.9531,14.23%,10.22%,1.14,-13.14%,71.43%,15.59%
0.99,全局 (Total),风险平价策略,2.8126,9.22%,6.07%,1.00,-10.01%,68.49%,13.78%
0.99,全局 (Total),全天候策略,3.1978,10.43%,7.46%,0.97,-11.79%,67.12%,16.81%
0.99,全局 (Total),全天候增强策略 (动量择时),4.4238,13.53%,9.86%,1.03,-13.38%,66.44%,17.02%
0.99,训练期 (2013-2020),风险平价策略,1.7324,8.56%,6.58%,0.74,-10.01%,67.47%,15.16%
0.99,训练期 (2013-2020),全天候策略,1.6424,7.70%,7.48%,0.55,-11.79%,61.45%,17.45%
0.99,训练期 (2013-2020),全天候增强策略 (动量择时),2.2639,12.99%,9.60%,0.95,-13.38%,62.65%,18.07%
0.99,验证期 (2021-2026),风险平价策略,1.6236,10.11%,5.32%,1.44,-5.32%,69.84%,11.94%
0.99,验证期 (2021-2026),全天候策略,1.9470,14.16%,7.44%,1.53,-6.89%,74.60%,15.97%
0.99,验证期 (2021-2026),全天候增强策略 (动量择时),1.9541,14.24%,10.21%,1.15,-13.11%,71.43%,15.61%
