资产,周期划分,样本月数,样本用途,月均收益(%),月收益中位数(%),月收益标准差(%),年化收益(%),年化波动率(%),胜率(%),25%分位数(%),75%分位数(%),最小月收益(%),最大月收益(%)
沪铝主连,紧货币宽信用,1,仅描述,7.785726374419055,7.785726374419055,,145.88669731728623,,100.0,7.785726374419055,7.785726374419055,7.785726374419055,7.785726374419055
沪铝主连,紧货币紧信用,14,主检验,-0.4968589768529515,-1.0861169519712277,5.341387342672174,-7.283645144021023,18.503108520827038,35.714285714285715,-2.2970444494448516,1.2618863318244855,-10.999083409566978,12.541445078477299
红利低波ETF,宽货币宽信用,48,主检验,0.4467738201970776,1.0019147519353289,5.853880626392004,3.3278703323534664,20.27843733270815,56.25,-1.6902773975526142,3.7242232544303033,-18.393978267704693,14.798598949085884
红利低波ETF,宽货币紧信用,69,主检验,1.1097835161260496,1.186440677978351,5.506125498758561,12.213318423800246,19.073778233400702,55.072463768115945,-3.1512605043512942,3.6729857819620904,-8.261055002528927,17.738161659124295
红利低波ETF,紧货币宽信用,1,仅描述,3.195467934399998,3.195467934399998,,45.857073669444844,,100.0,3.195467934399998,3.195467934399998,3.195467934399998,3.195467934399998
红利低波ETF,紧货币紧信用,14,主检验,0.8796024486972357,1.1955551186201396,3.1275776087485383,10.481999051098079,10.834246645934487,71.42857142857143,-0.24230179019644194,2.28930892606215,-5.748858614719055,6.491590366060218
豆粕主连,宽货币宽信用,48,主检验,0.8866554741383815,0.22082291356706474,5.38342093058653,9.362545448965376,18.64871714061119,54.166666666666664,-2.3628356826657706,3.4399838434450936,-12.649058140411695,15.836177474420587
豆粕主连,宽货币紧信用,69,主检验,0.529058900723628,0.11750881312888595,5.343995007084451,4.793941814267599,18.51214173532934,50.72463768115942,-3.374340948987975,4.063429137649299,-9.628735285195,14.328004736364353
豆粕主连,紧货币宽信用,1,仅描述,3.9243667495313383,3.9243667495313383,,58.71158995848502,,100.0,3.9243667495313383,3.9243667495313383,3.9243667495313383,3.9243667495313383
豆粕主连,紧货币紧信用,14,主检验,0.8499336593513422,1.3969256991104295,4.311645727298878,9.559788270687797,14.935978927837843,64.28571428571429,-1.7394747145665717,3.2561567409817305,-6.6452304393405,6.856127886442986
