月份,周期划分,资产,月收益(%)
2016-09,宽货币宽信用,10年国债主连,0.4865938433571859
2016-09,宽货币宽信用,30年国债主连,2.655087755222163
2016-09,宽货币宽信用,PTA主连,-0.6753904599299476
2016-09,宽货币宽信用,中证1000主连,-2.006748321161289
2016-09,宽货币宽信用,中证500主连,1.4369833610872407
2016-09,宽货币宽信用,原油主连,4.0918118059662945
2016-09,宽货币宽信用,沪深300主连,-0.49955490359392396
2016-09,宽货币宽信用,沪金主连,0.6704304867434452
2016-09,宽货币宽信用,沪铜主连,3.829788623913477
2016-09,宽货币宽信用,沪铝主连,3.576963383594256
2016-09,宽货币宽信用,红利低波ETF,-1.2222956195982904
2016-09,宽货币宽信用,豆粕主连,0.4891684136931751
2016-10,宽货币宽信用,10年国债主连,0.05435319693316565
2016-10,宽货币宽信用,30年国债主连,1.5238605572231778
2016-10,宽货币宽信用,PTA主连,4.632384190447558
2016-10,宽货币宽信用,中证1000主连,2.880648263923624
2016-10,宽货币宽信用,中证500主连,2.68839211462224
2016-10,宽货币宽信用,原油主连,-6.519636293354791
2016-10,宽货币宽信用,沪深300主连,3.0633066646177154
2016-10,宽货币宽信用,沪金主连,-1.9803715387689769
2016-10,宽货币宽信用,沪铜主连,1.8032352161262644
2016-10,宽货币宽信用,沪铝主连,14.914425427811828
2016-10,宽货币宽信用,红利低波ETF,2.4126138676992204
2016-10,宽货币宽信用,豆粕主连,1.1821974963359017
2016-11,宽货币宽信用,10年国债主连,-1.5389673768051004
2016-11,宽货币宽信用,30年国债主连,-2.620162919939606
2016-11,宽货币宽信用,PTA主连,1.8602695884043285
2016-11,宽货币宽信用,中证1000主连,0.757181408021057
2016-11,宽货币宽信用,中证500主连,3.2204264187601916
2016-11,宽货币宽信用,原油主连,4.408112582988566
2016-11,宽货币宽信用,沪深300主连,7.343688671128623
2016-11,宽货币宽信用,沪金主连,-4.0556530690258885
2016-11,宽货币宽信用,沪铜主连,19.537208214272294
2016-11,宽货币宽信用,沪铝主连,-3.35526082157106
2016-11,宽货币宽信用,红利低波ETF,5.700995980257817
2016-11,宽货币宽信用,豆粕主连,5.108054568471654
2016-12,宽货币宽信用,10年国债主连,-1.5527793230680875
2016-12,宽货币宽信用,30年国债主连,-4.914883462465324
2016-12,宽货币宽信用,PTA主连,6.479313036764456
2016-12,宽货币宽信用,中证1000主连,-6.480626242243314
2016-12,宽货币宽信用,中证500主连,-3.1677819663796125
2016-12,宽货币宽信用,原油主连,12.856423337669366
2016-12,宽货币宽信用,沪深300主连,-6.261689122339165
2016-12,宽货币宽信用,沪金主连,0.11068068639414896
2016-12,宽货币宽信用,沪铜主连,-1.474597756922591
2016-12,宽货币宽信用,沪铝主连,-2.662609357218726
2016-12,宽货币宽信用,红利低波ETF,-5.354175032005804
2016-12,宽货币宽信用,豆粕主连,-4.52997275192768
2017-01,紧货币宽信用,10年国债主连,-1.6999183752533065
2017-01,紧货币宽信用,30年国债主连,-1.8304116358807132
2017-01,紧货币宽信用,PTA主连,3.6656891494287303
2017-01,紧货币宽信用,中证1000主连,-2.2389588838302554
2017-01,紧货币宽信用,中证500主连,0.5133320585978929
2017-01,紧货币宽信用,原油主连,-1.004405286334853
2017-01,紧货币宽信用,沪深300主连,2.936479989505858
2017-01,紧货币宽信用,沪金主连,-1.3819789939994442
2017-01,紧货币宽信用,沪铜主连,5.5824175822474675
2017-01,紧货币宽信用,沪铝主连,7.785726374419055
2017-01,紧货币宽信用,红利低波ETF,3.195467934399998
2017-01,紧货币宽信用,豆粕主连,3.9243667495313383
2017-02,紧货币紧信用,10年国债主连,1.6548212579744037
2017-02,紧货币紧信用,30年国债主连,-0.7938009652532552
2017-02,紧货币紧信用,PTA主连,-1.5558698726666598
2017-02,紧货币紧信用,中证1000主连,3.9258648659830753
2017-02,紧货币紧信用,中证500主连,4.332972913501387
2017-02,紧货币紧信用,原油主连,-2.269129287709326
2017-02,紧货币紧信用,沪深300主连,2.034945592784254
2017-02,紧货币紧信用,沪金主连,5.082212257083563
2017-02,紧货币紧信用,沪铜主连,-1.0003483474389507
2017-02,紧货币紧信用,沪铝主连,-1.0478566090452834
2017-02,紧货币紧信用,红利低波ETF,2.3642018297240996
2017-02,紧货币紧信用,豆粕主连,-1.0985238584305224
2017-03,紧货币紧信用,10年国债主连,1.0539497023366984
2017-03,紧货币紧信用,30年国债主连,0.08440066572961147
2017-03,紧货币紧信用,PTA主连,-12.212643677951407
2017-03,紧货币紧信用,中证1000主连,-1.2592785166289366
2017-03,紧货币紧信用,中证500主连,1.1360698224819332
2017-03,紧货币紧信用,原油主连,-5.075593952431801
2017-03,紧货币紧信用,沪深300主连,1.3283505857833555
2017-03,紧货币紧信用,沪金主连,-0.9246088194102664
2017-03,紧货币紧信用,沪铜主连,-0.3173904455895826
2017-03,紧货币紧信用,沪铝主连,0.8991063284925049
2017-03,紧货币紧信用,红利低波ETF,1.4874935987131854
2017-03,紧货币紧信用,豆粕主连,-4.340741653604107
2017-04,紧货币紧信用,10年国债主连,-0.9603469639830164
2017-04,紧货币紧信用,30年国债主连,-1.0607091664392998
2017-04,紧货币紧信用,PTA主连,-1.7756145780843502
2017-04,紧货币紧信用,中证1000主连,-5.207252327085044
2017-04,紧货币紧信用,中证500主连,-2.5852376904432317
2017-04,紧货币紧信用,原油主连,-4.665326150224647
2017-04,紧货币紧信用,沪深300主连,-0.3798028846885626
2017-04,紧货币紧信用,沪金主连,1.6511127063288944
2017-04,紧货币紧信用,沪铜主连,-3.141723660197837
2017-04,紧货币紧信用,沪铝主连,-0.6097765254920784
2017-04,紧货币紧信用,红利低波ETF,2.064630215076302
2017-04,紧货币紧信用,豆粕主连,0.6834532375566305
2017-05,紧货币紧信用,10年国债主连,-0.5316819728741984
2017-05,紧货币紧信用,30年国债主连,-1.7745991727836419
2017-05,紧货币紧信用,PTA主连,-2.7541514783140375
2017-05,紧货币紧信用,中证1000主连,-6.950727401186352
2017-05,紧货币紧信用,中证500主连,-6.032264245906194
2017-05,紧货币紧信用,原油主连,-1.4623683424572986
2017-05,紧货币紧信用,沪深300主连,2.40137746551059
2017-05,紧货币紧信用,沪金主连,-1.6507892740097119
2017-05,紧货币紧信用,沪铜主连,-2.3742715302626727
2017-05,紧货币紧信用,沪铝主连,-2.5996660536526717
2017-05,紧货币紧信用,红利低波ETF,1.7768190111040028
2017-05,紧货币紧信用,豆粕主连,-6.6452304393405
2017-06,紧货币紧信用,10年国债主连,0.5965579135820853
2017-06,紧货币紧信用,30年国债主连,1.0607876511941505
2017-06,紧货币紧信用,PTA主连,1.082882132103835
2017-06,紧货币紧信用,中证1000主连,3.012155085573043
2017-06,紧货币紧信用,中证500主连,6.40587686138987
2017-06,紧货币紧信用,原油主连,-4.752435872098348
2017-06,紧货币紧信用,沪深300主连,5.185378981861466
2017-06,紧货币紧信用,沪金主连,-2.1835611574306912
2017-06,紧货币紧信用,沪铜主连,4.907218063025476
2017-06,紧货币紧信用,沪铝主连,1.3828129996018124
2017-06,紧货币紧信用,红利低波ETF,3.684784552416165
2017-06,紧货币紧信用,豆粕主连,1.6073478758290127
2017-07,紧货币紧信用,10年国债主连,-0.6192600366934364
2017-07,紧货币紧信用,30年国债主连,-1.033499945718408
2017-07,紧货币紧信用,PTA主连,7.210548001682393
2017-07,紧货币紧信用,中证1000主连,-8.170863233791792e-05
2017-07,紧货币紧信用,中证500主连,4.1533565557389185
2017-07,紧货币紧信用,原油主连,9.85386221300959
2017-07,紧货币紧信用,沪深300主连,2.790224184137524
2017-07,紧货币紧信用,沪金主连,0.9255898368708548
2017-07,紧货币紧信用,沪铜主连,6.623401572952536
2017-07,紧货币紧信用,沪铝主连,3.6787101431111413
2017-07,紧货币紧信用,红利低波ETF,0.4367383197673824
2017-07,紧货币紧信用,豆粕主连,6.5117395687207535
2017-08,紧货币紧信用,10年国债主连,0.28042943907315987
2017-08,紧货币紧信用,30年国债主连,-1.7072981528747366
2017-08,紧货币紧信用,PTA主连,0.42650155199430717
2017-08,紧货币紧信用,中证1000主连,3.3917399255056546
2017-08,紧货币紧信用,中证500主连,3.990457569139849
