日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2020-04-30,3179.0542022002,96.4430268536,416.9833183498,1525.1812711222,,,40478.1915074576,10899.1968372700,3453.6978634548,255.3482175449
2020-05-06,3188.6615472767,96.1572766769,416.7640150373,1541.3887672243,,,40270.8044061153,10973.3113757634,3536.5542779672,270.6465224963
2020-05-07,3182.3109293448,95.6607271895,414.6806335687,1535.2410962890,,,40638.4451766767,10864.3194073907,3534.5333898083,268.3877123693
2020-05-08,3215.2038735052,95.6935181934,420.3825196932,1536.9177338168,,,41015.5126336628,10838.1613349813,3540.5960542848,269.3117710576
2020-05-11,3213.5755099329,95.2203908517,418.6595511300,1528.5345461778,,,41006.0859472381,10929.7145884144,3524.4289490141,265.7182094918
2020-05-12,3214.3896917191,95.4639811662,417.5036355117,1530.2111837056,,,40572.4583717041,10825.0822987766,3498.1574029492,259.9685109866
2020-05-13,3223.1828550095,95.2391285682,418.3324052003,1524.0635127704,,,40591.3117445534,10894.8371585351,3481.9902976785,258.0177204223
2020-05-14,3198.1060559961,95.2766040012,421.1676699245,1507.2971374924,,,40449.9114481837,10925.3549096794,3512.3036200611,251.8573291667
2020-05-15,3180.4779214406,95.4039728336,427.3616328606,1510.0915333720,,,40657.2985495260,10986.3904119682,3613.3480280030,266.4369218050
2020-05-18,3197.2823113907,94.9228016889,437.4595372247,1535.7999754650,,,40789.2721594711,11125.9001314852,3643.6613503856,274.7534500001
2020-05-19,3222.3241473948,95.0077142439,430.1968975849,1530.2111837056,,,41270.0331671284,11204.3743487136,3649.7240148621,274.5481036249
2020-05-20,3211.4507186035,95.2247129954,434.7987503296,1540.8298880484,,,41307.7399128270,11226.1727423881,3766.9355280747,275.7801818760
2020-05-21,3188.0563718102,95.3284950070,430.8075699870,1532.4467004094,,,41704.4755808670,11138.9791676899,3752.7893109629,285.6368078850
2020-05-22,3116.2258422195,95.9747738973,430.0660392130,1539.1532505206,,,40863.7738081156,11152.0582038947,3635.5777977503,272.8026594358
2020-05-25,3124.1337904314,95.4936027527,429.1500306098,1558.1551425023,,,41232.1712141528,11195.6549912437,3678.0164490859,278.9630506914
2020-05-26,3153.9533451467,95.0973441630,431.1129061881,1558.7140216782,,,41430.5390481727,11282.8485659419,3686.1000017212,282.1459195068
2020-05-27,3139.4554400917,95.2199956312,426.5982923579,1574.9215177803,,,41222.7251268185,11348.2437469655,3655.7866793386,280.0924557549
2020-05-28,3143.2446652766,95.4605812035,429.8479419265,1560.9495383820,,,41279.4016508242,11470.3147515429,3692.1626661977,280.4004753177
2020-05-29,3146.7043926192,95.2766040012,430.1096586703,1567.0972093172,,,41506.1077468470,11522.6308963618,3639.6195740679,282.5566122572
2020-06-01,3244.5652517405,95.1067788913,434.0136000983,1558.7140216782,,,42129.5495109098,11474.6744302778,3744.7057583275,285.5341346974
2020-06-02,3257.9099143479,94.6303251108,432.8794942086,1557.5962633264,,,42091.7651615727,11356.9631044353,3736.6222056922,286.0475006353
2020-06-03,3254.6149359263,94.7010855733,428.6047873936,1565.4205717894,,,42346.8095195983,11465.9550728080,3779.0608570278,298.3682831466
2020-06-04,3255.4386805317,94.4463479085,425.0061821666,1583.3047054193,,,42242.9025589212,11479.0341090128,3708.3297714684,287.8956180120
2020-06-05,3277.6797848775,94.2010449720,425.4859961969,1588.3346180027,,,42715.2069256355,11492.1131452175,3738.6430938510,292.5159114537
2020-06-08,3287.8942179844,94.5123910068,421.2330991105,1569.8916051969,,,43263.0799910240,11701.3777244931,3811.3950675692,303.6046157138
2020-06-09,3307.1698417507,94.3944569027,421.2549088391,1573.2448802525,,,43688.1539210668,11819.0890503356,3785.1235215043,296.9308585202
2020-06-10,3306.3460971453,94.4652173651,425.7259032120,1574.9215177803,,,44236.0269864553,11919.3616612385,3764.9146399159,293.9533360800
2020-06-11,3266.1473604019,94.7624113074,429.3245084390,1565.4205717894,,,44349.3800344667,11801.6503353959,3726.5177648980,289.4454254948
2020-06-12,3283.6107460363,94.9652579664,429.2372695244,1582.7458262434,,,44245.4730737896,11880.1245526243,3708.3297714684,275.3582049159
2020-06-15,3236.8220524498,95.0879094347,428.0595441774,1565.9794509654,,,43716.4921830696,11862.6858376847,3671.9537846093,272.1651015846
2020-06-16,3294.9784215908,94.4982389143,427.9068760768,1584.4224637712,,,44538.3017811524,12098.1084893697,3734.6013175333,285.6888333404
2020-06-17,3300.7446338286,94.4086089952,428.4084998357,1573.2448802525,,,44179.3504624496,12067.5907382253,3750.7684228040,289.2575958871
2020-06-18,3329.5756950175,94.5312604634,427.6669690617,1573.8037594284,,,44321.0417724639,11984.7568422621,3740.6639820098,289.9149995141
2020-06-19,3374.9441244858,94.5548472842,428.4957387503,1571.0093635488,,,45133.4052832123,12042.2270890158,3772.9981925513,293.6715916685
2020-06-22,3378.6136298104,94.3001096194,433.4683568821,1577.7159136600,,,44934.6214092720,12108.5389121932,3748.7475346452,291.4176363758
2020-06-23,3397.6283392199,94.2623707061,432.8794942086,1570.4504843728,,,45294.3255621164,12073.1726064986,3742.6848701687,292.7324436299
2020-06-24,3427.3179732101,94.4840868218,436.2600021491,1574.9215177803,,,45303.7914608755,12028.9647243804,3744.7057583275,292.9202732376
2020-06-29,3400.9642531514,94.5265430993,436.3472410637,1567.6560884932,,,45796.0181963467,12179.2715235825,3657.8075674975,280.0539451088
2020-06-30,3436.4917365217,94.6444772033,436.9797231945,1572.1271219006,,,46184.1200454683,12227.9001939126,3682.0582254035,286.3462369674
2020-07-01,3518.3884235397,94.5831514692,439.5750809036,1610.6897850401,,,46714.2103759759,12404.7317223856,3680.0373372447,286.8158109867
2020-07-02,3605.4557771515,94.6067382900,435.1695157167,1619.6318518550,,,46771.0057685302,12347.2614756319,3696.2044425154,291.0419771604
2020-07-03,3675.3431740162,94.3142617119,436.7834356366,1624.1028852625,,,46288.2449318180,12426.8356634448,3708.3297714684,290.6663179450
2020-07-06,3948.0541379153,93.3424846943,435.8238075761,1635.8393479571,,,46420.7675144449,12488.7266984103,3730.5595412157,292.0750400029
2020-07-07,3929.8734069887,93.3755062435,436.5435286215,1626.3384019662,,,46723.6762747349,12431.2564516566,3659.8284556563,289.9149995141
2020-07-08,3969.4039870768,92.9650955613,438.7681209436,1619.0729726791,,,47140.1758201337,12510.8306394695,3673.9746727682,292.1689548067
2020-07-09,4032.9531474717,92.8707482780,441.5815759392,1623.5440060865,,,47992.1067084494,12634.6127094006,3661.8493438152,292.8263584337
2020-07-10,3957.2279012269,92.9981171104,438.2446874561,1631.3683145496,,,47802.7887332681,12709.7661090017,3583.0347056205,286.2523221636
2020-07-13,4034.7879001340,92.8188572722,440.2729922203,1606.7776308085,,,50055.6726379251,13023.6420720413,3629.5151332737,289.5393402986
2020-07-14,3997.2588684047,93.0452907521,439.4878419890,1601.7477182251,,,49421.4574210679,12807.0234496618,3639.6195740679,286.7218961829
2020-07-15,3949.8888905776,93.4273972493,440.1421338484,1608.4542683363,,,49421.4574210679,12798.1818732382,3643.6613503856,289.1636810832
2020-07-16,3749.5672589918,93.6585480933,438.5064041998,1617.9552143272,,,47980.4327657826,12356.1030520555,3621.4315806384,283.1531336362
2020-07-17,3772.0846780293,93.5783529025,435.9328562193,1621.3084893828,,,48738.8667948801,12515.2514276813,3593.1391464146,282.4018152053
