date,策略名称,股指期货信号,股指风险预算倍率,股指目标风险预算,股指实际风险贡献,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2020-11-13,风险平价策略,1.0,2.0,0.2,0.19999608957388157,0.10788750880246373,0.10788750880246373,0.0,0.06827946929717241,0.40368831291284524,0.0,0.07728551073436507,0.09966527943162597,0.05390790138634109,0.022897367225032227,0.09413969385981018,0.072248956350344
2020-11-20,风险平价策略,1.0,2.0,0.2,0.20000238381149293,0.11232098283595343,0.11232098283595343,0.0,0.07010538859401728,0.38982973384168185,0.0,0.07539330701749027,0.10098739813225749,0.056526914302266626,0.023908805846158527,0.09779873602148957,0.07312873340868488
2020-11-27,风险平价策略,1.0,2.0,0.2,0.19999160567070848,0.11155709842187024,0.11155709842187024,0.0,0.06663277399215836,0.39058106922323554,0.0,0.07967367502231558,0.10644624220741888,0.060161701768907366,0.025839574622743867,0.09557408676179853,0.0635337779795515
2020-12-04,风险平价策略,1.0,2.0,0.2,0.1999997819993656,0.12802233217819076,0.12802233217819076,0.0,0.06827194365796614,0.4074866746483907,0.0,0.08315634094163596,0.07828018310243302,0.06203494590642722,0.028427455281225006,0.07997382148056065,0.06434630280317033
2020-12-11,风险平价策略,1.0,2.0,0.2,0.2000018442898238,0.12303962089580117,0.12303962089580117,0.0,0.06951649681056464,0.3935834244433053,0.0,0.09479735766224906,0.0704987820470072,0.06658834987713401,0.0313885127232347,0.07885778284556537,0.07172967269513872
2020-12-18,风险平价策略,1.0,2.0,0.2,0.19999676509893657,0.12367247125635404,0.12367247125635404,0.0,0.06994488783526953,0.3885602748166142,0.0,0.09616099617807414,0.07109823296651759,0.06485613232745695,0.031616925248602185,0.08054543718472298,0.07354464218638836
2020-12-25,风险平价策略,1.0,2.0,0.2,0.19999300628649286,0.12088858500770655,0.12088858500770655,0.0,0.05965493146945196,0.4403707151366071,0.0,0.07273679305148101,0.052071643292116075,0.06493462391951045,0.02670355287876489,0.09346946412901469,0.06916969111534724
2020-12-31,风险平价策略,1.0,2.0,0.2,0.19999517821679874,0.12654579185679113,0.12654579185679113,0.0,0.06071562825299788,0.44053997910985637,0.0,0.06861884789476477,0.04870559738580978,0.06506050412725424,0.027035630936001517,0.09182692438290163,0.07095109605362258
2021-01-08,风险平价策略,1.0,2.0,0.2,0.2000112437474019,0.13038302566528476,0.13038302566528476,0.0,0.0630540021501185,0.42812028783809963,0.0,0.0720871439184614,0.050083065454043334,0.06384404905469565,0.02756889425526162,0.09509406561765232,0.06976546604638278
2021-01-15,风险平价策略,1.0,2.0,0.2,0.20000258274073188,0.11939601060139485,0.11939601060139485,0.0,0.07275628662077857,0.45396081485160905,0.0,0.059729254008505824,0.05097153635862766,0.05365134589295582,0.026778300793078535,0.10478516137673098,0.05797128949631881
2021-01-22,风险平价策略,1.0,2.0,0.2,0.20000376775339215,0.1250010524632968,0.1250010524632968,0.0,0.06425681265830892,0.4987069508001581,0.0,0.059391700884987714,0.05221133435176302,0.048911502354146166,0.026412592177224952,0.06389661464461577,0.061211439665498635
2021-01-29,风险平价策略,1.0,2.0,0.2,0.20000019078495318,0.11986936306254987,0.11986936306254987,0.0,0.07208530503182797,0.43390414197038846,0.0,0.06266000700861972,0.06533790046816054,0.058844858945553496,0.03394221124693301,0.07446012198540033,0.07889609028056656
2021-02-05,风险平价策略,1.0,2.0,0.2,0.2000020722712337,0.1330826524284109,0.1330826524284109,0.0,0.07661733319087896,0.4142381439262932,0.0,0.06407108155429413,0.06441726867159128,0.06238590021133318,0.03768047445397969,0.07269387508141846,0.07481327048180009
2021-02-10,风险平价策略,1.0,2.0,0.2,0.20000069734831213,0.13666708351789925,0.13666708351789925,0.0,0.07898964777918774,0.4068556106014508,0.0,0.06586524959321186,0.06613475325156301,0.06242066779433822,0.03709494926088294,0.06906917969693678,0.07690285850452937
2021-02-19,风险平价策略,1.0,2.0,0.2,0.1999985684668969,0.13865479472857167,0.13865479472857167,0.0,0.08460895736577487,0.39173158382984374,0.0,0.07082107659387965,0.07025862637259209,0.06714822824336526,0.03798004753812734,0.07182578231939002,0.06697090300845532
2021-02-26,风险平价策略,1.0,2.0,0.2,0.19999960663502814,0.10314884392195017,0.10314884392195017,0.0,0.07946435208623467,0.4347873660115888,0.0,0.05896055604943707,0.09469108682484521,0.06823117308737806,0.03892098446652242,0.05328718331420713,0.0685084542378365
2021-03-05,风险平价策略,1.0,2.0,0.2,0.19999826453173541,0.09421660013282028,0.09421660013282028,0.0,0.08723131501464712,0.4885911128151328,0.0,0.054921520831967933,0.07113562735564757,0.056143700839763486,0.035518155853726696,0.049508329564141834,0.06273363759215234
2021-03-12,风险平价策略,1.0,2.0,0.2,0.19999690943010545,0.08864616100656779,0.08864616100656779,0.0,0.0854888248751405,0.5051799187511121,0.0,0.05989562209841602,0.0689835241850784,0.04503224031398566,0.03330998914386489,0.04536935155949437,0.06809436806634026
2021-03-19,风险平价策略,1.0,2.0,0.2,0.20000056841339722,0.08162452593565327,0.08162452593565327,0.0,0.08162177144186988,0.5260531065014601,0.0,0.05729198863609809,0.07084091472678973,0.034575534533258144,0.024868961484389197,0.050710028702436065,0.0724131680380455
2021-03-26,风险平价策略,1.0,2.0,0.2,0.2000056241139068,0.08111435112994081,0.08111435112994081,0.0,0.07473139816860887,0.5361777566276956,0.0,0.056763511601765335,0.06573795058026403,0.0353334497624348,0.024489199834018274,0.051556750367523566,0.07409563192774876
2021-04-02,风险平价策略,1.0,2.0,0.2,0.19999979161922646,0.08280366670931773,0.08280366670931773,0.0,0.07547010756681063,0.5370873966596185,0.0,0.0563367696878402,0.06492266054701008,0.03620073263741163,0.02508739508723772,0.05193111567567949,0.07016015542907413
2021-04-09,风险平价策略,1.0,2.0,0.2,0.20000223707715664,0.08353703492282054,0.08353703492282054,0.0,0.07981373338776047,0.5249292424027406,0.0,0.05910803090694705,0.06778729472188207,0.03567699562059779,0.024168708165230805,0.05296448480055003,0.07201447507147068
2021-04-16,风险平价策略,1.0,2.0,0.2,0.1999915565291969,0.08114784058711823,0.08114784058711823,0.0,0.08174154225233236,0.5373237139386182,0.0,0.05564082157345557,0.06562995918861668,0.036023375744498314,0.024335517987640568,0.048902279733266836,0.06925494899445314
2021-04-23,风险平价策略,1.0,2.0,0.2,0.2000009019698267,0.08261373874855801,0.08261373874855801,0.0,0.08123047963580965,0.5387383678898495,0.0,0.054851703451105856,0.06483737031131645,0.0353981992818389,0.023538205301651228,0.05019280902689604,0.0685991263529744
2021-04-30,风险平价策略,1.0,2.0,0.2,0.200004481171887,0.0835888495295082,0.0835888495295082,0.0,0.0822890247131847,0.525690363493298,0.0,0.055157488970741644,0.06966100875100957,0.03732514635623078,0.02584698925729006,0.05100733407397532,0.06943379485476156
2021-05-07,风险平价策略,1.0,2.0,0.2,0.1999964528984609,0.08189674977639247,0.08189674977639247,0.0,0.08420584586947955,0.5187310848033564,0.0,0.05641470577942715,0.07115929410698094,0.03818939004105279,0.02620019238131669,0.05213142481539016,0.07107131242660394
2021-05-14,风险平价策略,1.0,2.0,0.2,0.20000206113495572,0.08481568875010756,0.08481568875010756,0.0,0.08363034518637505,0.5687559440440202,0.0,0.04299790523019624,0.049729522508220186,0.02815155477023,0.024551012080068074,0.04185962353322878,0.07550840389755387
2021-05-21,风险平价策略,1.0,2.0,0.2,0.19999045818349792,0.08294596006838208,0.08294596006838208,0.0,0.08171737577031597,0.5943033218187319,0.0,0.034566550119952785,0.03935488214760115,0.026102515382055,0.020716619389846938,0.038952126949300815,0.08134064835381327
2021-05-28,风险平价策略,1.0,2.0,0.2,0.19999333000853342,0.09319694936522066,0.09319694936522066,0.0,0.09231963056643772,0.5583885315829415,0.0,0.03807740133261236,0.039732263613651994,0.028329664024272012,0.022906579295763153,0.041873174260094896,0.08517580595900552
2021-06-04,风险平价策略,1.0,2.0,0.2,0.1999953024027211,0.11267516588906736,0.11267516588906736,0.0,0.11488173848860087,0.5036737266207014,0.0,0.03844816128298429,0.04432238546824381,0.033231520642695106,0.029075833338029575,0.04777216758626079,0.0759193006834166
2021-06-11,风险平价策略,1.0,2.0,0.2,0.2000026279679363,0.11688011242807589,0.11688011242807589,0.0,0.1132296542490338,0.4786577148578833,0.0,0.04220235592748493,0.04780897234020748,0.03414194083639316,0.031180489756105843,0.05245358263848097,0.08344517696633459
2021-06-18,风险平价策略,1.0,2.0,0.2,0.19999985158968756,0.11282944046179566,0.11282944046179566,0.0,0.09928159829053627,0.5479082210346338,0.0,0.03427024084629283,0.04192692292333024,0.033463818831539094,0.030826590328135135,0.03685720897786226,0.06263595830587475
2021-06-25,风险平价策略,1.0,2.0,0.2,0.19999915354471856,0.11320920776058624,0.11320920776058624,0.0,0.09912534884892223,0.5481209993647097,0.0,0.03393089630794218,0.04169389813777945,0.03359398415377985,0.030922464586166466,0.03700865900360474,0.0623945418365091
2021-07-02,风险平价策略,1.0,2.0,0.2,0.1999919316908434,0.1014508584617001,0.1014508584617001,0.0,0.08655962184817881,0.5597241213432527,0.0,0.03627449856266904,0.04372152282288137,0.03293860097259752,0.032001210709860846,0.0409832906864046,0.06634627459245508
2021-07-09,风险平价策略,1.0,2.0,0.2,0.20000075939435277,0.10241448625029605,0.10241448625029605,0.0,0.07522114529808017,0.5828594783002401,0.0,0.036119873754664224,0.04186917763085531,0.025498072545334354,0.02543587326443314,0.03970416223906332,0.07087773071703336
2021-07-16,风险平价策略,1.0,2.0,0.2,0.20000533379837152,0.11539910505095273,0.11539910505095273,0.0,0.08717240057999014,0.5256235607575226,0.0,0.041997890674661406,0.04760510034711377,0.027605102577680993,0.024839737227564017,0.046795763498988646,0.0829613392855256
2021-07-23,风险平价策略,1.0,2.0,0.2,0.19998572957290217,0.11569812329725718,0.11569812329725718,0.0,0.08632065471397148,0.5360983209597967,0.0,0.04214306793166057,0.045618602035068775,0.026442495611019474,0.02298310655470639,0.04485210094074483,0.07984352795577468
2021-07-30,风险平价策略,1.0,2.0,0.2,0.20000400722009623,0.08679579882728972,0.08679579882728972,0.0,0.06175273596006609,0.5208543780868834,0.0,0.05729443491137828,0.06107510328648889,0.03447496644014836,0.03094784101182422,0.05199074793084832,0.09481399354507274
2021-08-06,风险平价策略,1.0,2.0,0.2,0.20000071101671943,0.09307407647383892,0.09307407647383892,0.0,0.0638211205417175,0.5190003990999305,0.0,0.05330836169507214,0.06227800416230173,0.031410059535433354,0.0280349571859955,0.05327179177933916,0.09580122952637149
2021-08-13,风险平价策略,1.0,2.0,0.2,0.19999611824687547,0.11624810223477211,0.11624810223477211,0.0,0.08308989400364977,0.4394776084136603,0.0,0.061654863260911914,0.08129177552586551,0.03551410074754022,0.031145081623252385,0.06616098417883495,0.085417590011513
2021-08-20,风险平价策略,1.0,2.0,0.2,0.20000752710849976,0.1061071101703736,0.1061071101703736,0.0,0.0767456720126523,0.4710924232322359,0.0,0.05199185669220388,0.07600189917501893,0.03384873440950685,0.028657505647035092,0.06222924200163412,0.09332555665933942
2021-08-27,风险平价策略,1.0,2.0,0.2,0.20000204981209274,0.10937249396361903,0.10937249396361903,0.0,0.08676415557456482,0.4320734604545641,0.0,0.055802990856025664,0.07881738628915007,0.03700606874713547,0.03225571118725876,0.06749797696046184,0.10040975596722021
2021-09-03,风险平价策略,1.0,2.0,0.2,0.1999934785561361,0.11261557666928705,0.11261557666928705,0.0,0.08577639575975027,0.4311348771080817,0.0,0.054935156803910395,0.07330533044187541,0.03710360906969936,0.033780474824503644,0.06713748513742204,0.1042110941854702
2021-09-10,风险平价策略,1.0,2.0,0.2,0.2000068572296813,0.11541034717949081,0.11541034717949081,0.0,0.0882638067381753,0.4318084833002931,0.0,0.055689028982636724,0.07756667857323164,0.03513322547283791,0.03425962630031093,0.0655963156415183,0.0962724878115054
2021-09-17,风险平价策略,1.0,2.0,0.2,0.2000057634337436,0.11388470783099895,0.11388470783099895,0.0,0.07070213459397343,0.4485425173001002,0.0,0.05360141859123314,0.053001718983873694,0.041550162091997474,0.04134801745761068,0.07933240862615948,0.09803691452405305
2021-09-24,风险平价策略,1.0,2.0,0.2,0.20000120016371187,0.12238645486304038,0.12238645486304038,0.0,0.05857732229910985,0.4453729893095178,0.0,0.05750869716556909,0.052432745709197336,0.043784032740123796,0.044727259897897324,0.07759353136865263,0.09761696664689179
2021-09-30,风险平价策略,1.0,2.0,0.2,0.2000011256790773,0.12746806892160573,0.12746806892160573,0.0,0.05038217958362968,0.45496187065268456,0.0,0.05682762153454267,0.053479739005482266,0.04141403066430869,0.0406329644203222,0.07607508444489616,0.09875844077252814
2021-10-08,风险平价策略,1.0,2.0,0.2,0.20000168200734014,0.13794111559864222,0.13794111559864222,0.0,0.05193791251383171,0.4279838152019057,0.0,0.061413273736843535,0.05772326138563812,0.04479806419082145,0.04385050703430578,0.06643611185320901,0.10791593848480258
2021-10-15,风险平价策略,1.0,2.0,0.2,0.19999223003023667,0.13880569732733847,0.13880569732733847,0.0,0.05081228103422716,0.4199263109818839,0.0,0.06347923263601056,0.06211448371778579,0.042612325977376714,0.04610052772316022,0.06234542771264715,0.11380371288957
2021-10-22,风险平价策略,1.0,2.0,0.2,0.19999798067599914,0.15561640048749414,0.15561640048749414,0.0,0.05729116469727897,0.40009527536492895,0.0,0.059987315061533326,0.039219201978152804,0.04791832440937841,0.048748104247071544,0.0738841560817486,0.11724005767241327
2021-10-29,风险平价策略,1.0,2.0,0.2,0.20000549738675466,0.145354582765508,0.145354582765508,0.0,0.04938076908249536,0.4413794767249407,0.0,0.056060446472552726,0.031618049402107336,0.03963615747666536,0.050035145786244704,0.07570442557136108,0.1108309467181248
2021-11-05,风险平价策略,0.0,0.5,0.058823529411764705,0.058823950276949664,0.0484127601370823,0.0484127601370823,0.0,0.05140171879646747,0.5398827967802784,0.0,0.05823008648802097,0.02929892088976736,0.04192591692479456,0.04743180546128089,0.06543518049992095,0.11798081402238705
2021-11-12,风险平价策略,0.0,0.5,0.058823529411764705,0.05882564744440435,0.05112688218010422,0.05112688218010422,0.0,0.05449005032783224,0.518520122599086,0.0,0.06251277448888509,0.031232766893725086,0.04020629131594144,0.0440996429785947,0.07010921221574198,0.1277022570000892
2021-11-19,风险平价策略,0.0,0.5,0.058823529411764705,0.05882344727006311,0.0495654363243786,0.0495654363243786,0.0,0.057378553912381385,0.5150512914313167,0.0,0.05996929781919718,0.031855619014901235,0.03859570331697157,0.03948438361248312,0.07579226012462596,0.13230745444374425
2021-11-26,风险平价策略,0.0,0.5,0.058823529411764705,0.05882205843069267,0.04871940892648265,0.04871940892648265,0.0,0.056825380594063335,0.5469460996373123,0.0,0.05649891099602656,0.030752608844505355,0.03433922161622493,0.03458203854161614,0.07721115723270047,0.11412517361106819
2021-12-03,风险平价策略,0.0,0.5,0.058823529411764705,0.05882395481111944,0.0547888499472997,0.0547888499472997,0.0,0.06328086437887954,0.5342027731326061,0.0,0.05674916933326259,0.033778726558366605,0.03034715926432775,0.028030829712692287,0.08122631777924201,0.11759530989332342
2021-12-10,风险平价策略,0.0,0.5,0.058823529411764705,0.05882265881367414,0.05817474683145187,0.05817474683145187,0.0,0.06726558970571726,0.5120884164408467,0.0,0.06036896136084314,0.03585003076433196,0.032224789502513174,0.02955704171668641,0.08093987952138774,0.12353054415622175
2021-12-17,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882101483286421,0.05252559528425395,0.05252559528425395,0.0,0.06618778472669808,0.5313058223828171,0.0,0.05737609474603001,0.036980019398409086,0.032580479057588055,0.028216520136194016,0.07703039456941313,0.11779728969859657
2021-12-24,风险平价策略,-1.0,0.5,0.058823529411764705,0.0588253057501455,0.04649086514832503,0.04649086514832503,0.0,0.06603801314435373,0.53658130024578,0.0,0.05628985489458801,0.037775603654194925,0.031521359019345205,0.026723965651935622,0.07832458483072441,0.12025445341075315
2021-12-31,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882339740122076,0.044455392098729514,0.044455392098729514,0.0,0.06764582456552978,0.543552227927061,0.0,0.057295820911693655,0.03688961086455311,0.03267709745153816,0.027259639608508537,0.070794556364169,0.11942983020821711
2022-01-07,风险平价策略,-1.0,0.5,0.058823529411764705,0.05883448418792716,0.04209179588711815,0.04209179588711815,0.0,0.07722940195864716,0.5334800926048971,0.0,0.05876401857814978,0.04124097094952743,0.036543465691497884,0.030213265478667633,0.06553332339697898,0.11490366545451573
2022-01-14,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882337583094581,0.0377471656038739,0.0377471656038739,0.0,0.06294201557501337,0.55071380067185,0.0,0.06175155913069214,0.04064325879489889,0.037506621298174954,0.03094207412951054,0.060057605899299496,0.11769589889668668
2022-01-21,风险平价策略,-1.0,0.5,0.058823529411764705,0.058822782831049795,0.0363822071755933,0.0363822071755933,0.0,0.0609577066237003,0.5607981100439644,0.0,0.05857686882290853,0.04142840028264701,0.0350866402897218,0.030836656495040103,0.06031982298478139,0.11561358728164325
2022-01-28,风险平价策略,-1.0,0.5,0.058823529411764705,0.0588234989178894,0.02789498743128155,0.02789498743128155,0.0,0.053510235494985,0.5702700852029668,0.0,0.05500603326681073,0.04785015950622074,0.040000143865260726,0.0335448281321555,0.07165908092118815,0.10026444617913075
2022-02-11,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882762473818175,0.03509677094577034,0.03509677094577034,0.0,0.07571862446367358,0.4872542144164479,0.0,0.05964741307296371,0.05154610752734274,0.04454029125340451,0.0422517311043955,0.07751751742213148,0.12642732979387014
2022-02-18,风险平价策略,-1.0,0.5,0.058823529411764705,0.058823951527979944,0.03680851105120016,0.03680851105120016,0.0,0.07219320695063436,0.4997702368249014,0.0,0.06339242050924078,0.054467443227519056,0.03901599337347656,0.04131549248389896,0.07893224213489931,0.11410445344422944
2022-02-25,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882544799867765,0.038456094115773234,0.038456094115773234,0.0,0.07244182698931972,0.5124691302603621,0.0,0.0689739403936258,0.05269356955620358,0.04124046580067965,0.04373153914687779,0.0645253517046511,0.105468082032507
2022-03-04,风险平价策略,-1.0,0.5,0.058823529411764705,0.05881853956678657,0.037664114155348725,0.037664114155348725,0.0,0.07512906013850737,0.49743255400589415,0.0,0.075959427021701,0.054916992601475936,0.03814107789704347,0.04124771642726428,0.0677489732863561,0.11176008446640906
2022-03-11,风险平价策略,-1.0,0.5,0.058823529411764705,0.058820197793775154,0.038858876412914724,0.038858876412914724,0.0,0.07481249115853875,0.5578719683828148,0.0,0.07322225579430644,0.0443837949488483,0.028540616497145566,0.024279225289506594,0.07337407358165828,0.08465669793426644
2022-03-18,风险平价策略,-1.0,0.5,0.058823529411764705,0.058821887497476966,0.027526579703130556,0.027526579703130556,0.0,0.05429831650735471,0.5271542900912187,0.0,0.10259970792126047,0.06000108193638226,0.03423727677932385,0.024959091705243942,0.07967364771221531,0.08955000764387014
2022-03-25,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882383368864743,0.02764002549050502,0.02764002549050502,0.0,0.05587130807144039,0.5160661885439629,0.0,0.10607871616956437,0.06108379901701759,0.035277312239996944,0.025616376346656304,0.08090082323517171,0.09146545088568477
2022-04-01,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882345510987763,0.029204936572005846,0.029204936572005846,0.0,0.061003924004869134,0.5344840192883704,0.0,0.10196776806428955,0.06300663905834944,0.034364889112712356,0.023942423842970816,0.05736681591335392,0.09465858414307866
2022-04-08,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882381725760466,0.028495515107246093,0.028495515107246093,0.0,0.057091813755259326,0.547803821274528,0.0,0.10202956430514315,0.05506617347038748,0.033854384755122424,0.02125859437175324,0.05715851026455824,0.09724162269600212
2022-04-15,风险平价策略,-1.0,0.5,0.058823529411764705,0.05882337322521722,0.026408640327724237,0.026408640327724237,0.0,0.05844225709917642,0.5409160013994216,0.0,0.10362307260935152,0.0505928499325293,0.03400302918986815,0.02258281374111149,0.06010843407869532,0.10332290162212196
2022-04-22,风险平价策略,-1.0,0.5,0.058823529411764705,0.058823557180120875,0.02648844199670045,0.02648844199670045,0.0,0.05554916167284651,0.5252577192871755,0.0,0.10755372496979548,0.055503797956835986,0.037066774156784034,0.023779996182093952,0.06547001230669718,0.10333037147107084
