10年国债主连,策略名称,30年国债主连,PTA主连,date,中证1000主连,原油主连,沪深300主连,沪金主连,沪铜主连,沪铝主连,红利低波ETF,豆粕主连
0.22492137540334683,全天候策略,0.22492137540334683,0.03696027950566501,2020-07-31,0.015146598451020215,0.03696027950566501,0.015146598451020215,0.24673505645799163,0.03696027950566501,0.03696027950566501,0.0883275983049493,0.03696027950566501
0.1767873438781797,全天候策略,0.1767873438781797,0.06133775675449055,2020-08-31,0.0274877822717057,0.06133775675449055,0.0274877822717057,0.21063731836096455,0.06133775675449055,0.06133775675449055,0.07412364556681192,0.06133775675449055
0.19903069575399246,全天候策略,0.19903069575399246,0.05025135873971379,2020-09-30,0.022942239599798558,0.05025135873971379,0.022942239599798558,0.2263398148939077,0.05025135873971379,0.05025135873971379,0.07845752069994122,0.05025135873971379
0.2112576569214909,全天候策略,0.2112576569214909,0.043665769849764835,2020-10-31,0.02019910315321274,0.043665769849764835,0.02019910315321274,0.234724323618043,0.043665769849764835,0.043665769849764835,0.0840333069837256,0.043665769849764835
0.1863297288672669,全天候策略,0.1863297288672669,0.05622459152340846,2020-11-30,0.02585149621950306,0.05622459152340846,0.02585149621950306,0.21670282417117231,0.05622459152340846,0.05622459152340846,0.07781176803824541,0.05622459152340846
0.20686172316979118,全天候策略,0.20686172316979118,0.04721355524582602,2020-12-31,0.021632669607805907,0.04721355524582602,0.021632669607805907,0.2324426088078113,0.04721355524582602,0.04721355524582602,0.07450082940786447,0.04721355524582602
0.20726784514982352,全天候策略,0.20726784514982352,0.04663872427500986,2021-01-31,0.02143815387220136,0.04663872427500986,0.02143815387220136,0.23246841555263204,0.04663872427500986,0.04663872427500986,0.07692596502826882,0.04663872427500986
0.19755154842099865,全天候策略,0.19755154842099865,0.05055967817088279,2021-02-28,0.02333357202695344,0.05055967817088279,0.02333357202695344,0.224777654564928,0.05055967817088279,0.05055967817088279,0.08065371368475392,0.05055967817088279
0.22209940920668253,全天候策略,0.22209940920668253,0.037752183755939014,2021-03-31,0.017456896894901715,0.037752183755939014,0.017456896894901715,0.24239469606771982,0.037752183755939014,0.037752183755939014,0.08973177294941662,0.037752183755939014
0.22052993952942762,全天候策略,0.22052993952942762,0.03857709742929895,2021-04-30,0.017796505379733325,0.03857709742929895,0.017796505379733325,0.24131053157899324,0.03857709742929895,0.03857709742929895,0.08915109145619007,0.03857709742929895
0.23801986220047633,全天候策略,0.23801986220047633,0.02874208625134455,2021-05-31,0.01384323646866654,0.02874208625134455,0.01384323646866654,0.25291871198315435,0.02874208625134455,0.02874208625134455,0.0996446594218371,0.02874208625134455
0.22043856139772194,全天候策略,0.22043856139772194,0.03765140187168124,2021-06-30,0.018956425001684474,0.03765140187168124,0.018956425001684474,0.23913353826771871,0.03765140187168124,0.03765140187168124,0.09381947957506222,0.03765140187168124
0.22295980398327736,全天候策略,0.22295980398327736,0.0381681235774424,2021-07-31,0.018884086889650802,0.0381681235774424,0.018884086889650802,0.24224384067106897,0.0381681235774424,0.0381681235774424,0.08322775969586267,0.0381681235774424
0.21906948151782207,全天候策略,0.21906948151782207,0.037436194756091515,2021-08-31,0.01900566937194063,0.037436194756091515,0.01900566937194063,0.23750000690197298,0.037436194756091515,0.037436194756091515,0.09916871753804402,0.037436194756091515
0.2136831680521155,全天候策略,0.2136831680521155,0.044095264652552035,2021-09-30,0.021243938576011562,0.044095264652552035,0.021243938576011562,0.236534494128656,0.044095264652552035,0.044095264652552035,0.07313496935232958,0.044095264652552035
0.22724470381670359,全天候策略,0.22724470381670359,0.03761301959783078,2021-10-31,0.018054090819252133,0.03761301959783078,0.018054090819252133,0.2468036325952822,0.03761301959783078,0.03761301959783078,0.07453368014365254,0.03761301959783078
0.23971433453780222,全天候策略,0.23971433453780222,0.029704925498701983,2021-11-30,0.014861483920862945,0.029704925498701983,0.014861483920862945,0.25455777611564123,0.029704925498701983,0.029704925498701983,0.08776595947351852,0.029704925498701983
0.24200207790434447,全天候策略,0.24200207790434447,0.027564573907175198,2021-12-31,0.013473547880334452,0.027564573907175198,0.013473547880334452,0.25609310393118523,0.027564573907175198,0.027564573907175198,0.09513277496358101,0.027564573907175198
0.22448103061829194,全天候策略,0.22448103061829194,0.03860722881873585,2022-01-31,0.01737747809177923,0.03860722881873585,0.01737747809177923,0.24571078134524857,0.03860722881873585,0.03860722881873585,0.07753605714092973,0.03860722881873585
0.22093107219708868,全天候策略,0.22093107219708868,0.03776302833593042,2022-02-28,0.01849561865593417,0.03776302833593042,0.01849561865593417,0.24019848187708492,0.03776302833593042,0.03776302833593042,0.09213299473721724,0.03776302833593042
0.22604236681065412,全天候策略,0.22604236681065412,0.03698474559972024,2022-03-31,0.017562855184933637,0.03698474559972024,0.017562855184933637,0.2454642572254407,0.03698474559972024,0.03698474559972024,0.08240157078478255,0.03698474559972024
0.246657012100827,全天候策略,0.246657012100827,0.029271613319783688,2022-04-30,0.012857624143307085,0.029271613319783688,0.012857624143307085,0.2630710012773036,0.029271613319783688,0.029271613319783688,0.07154165963550974,0.029271613319783688
