date,策略名称,股指期货信号,股指基准仓位,股指目标波动,股指实现波动,股指波动缩放系数,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2019-10-25,风险平价策略,1.0,0.2,0.1,0.13925053155817727,0.7181301132643875,0.1436260226528775,0.1436260226528775,0.0,0.08885081704550285,0.3160869224693987,0.0,0.11716270916419265,0.1145419074858609,0.036813994621487545,0.03541197482736501,0.08029230027884166,0.0672133514544732
2019-11-01,风险平价策略,1.0,0.2,0.1,0.1439361761770076,0.6947523732812212,0.13895047465624424,0.13895047465624424,0.0,0.08854132937388838,0.3039978755978734,0.0,0.12245041422025403,0.12760927296841398,0.03828795591042287,0.03774989223376064,0.0693251062973055,0.07308767874183707
2019-11-08,风险平价策略,1.0,0.2,0.1,0.1289440815615654,0.7755299722868956,0.15510599445737913,0.15510599445737913,0.0,0.0804495690923715,0.30384175566285593,0.0,0.12646088544622364,0.13568842325678054,0.0361328905364407,0.03822840043791935,0.06591325497697519,0.05817882613305405
2019-11-15,风险平价策略,1.0,0.2,0.1,0.12998173617687947,0.7693388543750467,0.15386777087500936,0.15386777087500936,0.0,0.07165804814203065,0.33343975097705036,0.0,0.1288326254650945,0.11157319136639957,0.03847754287313249,0.03985455427505261,0.06017796417609824,0.06211855185013214
2019-11-22,风险平价策略,1.0,0.2,0.1,0.12719051430796874,0.7862221529969456,0.15724443059938914,0.15724443059938914,0.0,0.07100431226893641,0.336491701450371,0.0,0.12522492815020037,0.11154078147597124,0.038675525221619794,0.037737794341229675,0.05909787622923902,0.06298265026304332
2019-11-29,风险平价策略,1.0,0.2,0.1,0.1252254289374891,0.7985598520083225,0.15971197040166452,0.15971197040166452,0.0,0.07250505891416759,0.327168656708584,0.0,0.12991336367426912,0.10895375921456849,0.03903186826139113,0.038664957862012975,0.061176195243619606,0.0628741697197225
2019-12-06,风险平价策略,1.0,0.2,0.1,0.12093011486111692,0.8269238817381902,0.16538477634763804,0.16538477634763804,0.0,0.08134538613187722,0.2953480694350628,0.0,0.13939042271982624,0.11142129021278303,0.041948487234029164,0.03713026199190543,0.061172194647791056,0.06685911127908702
2019-12-13,风险平价策略,1.0,0.2,0.1,0.12499916054394829,0.8000053725548112,0.16000107451096224,0.16000107451096224,0.0,0.08577388468745928,0.288680550542901,0.0,0.14530657158969945,0.11634002571973508,0.042878145840240856,0.03902282178698785,0.05932002465903228,0.06267690066298202
2019-12-20,风险平价策略,1.0,0.2,0.1,0.12213870627506448,0.8187412741608164,0.1637482548321633,0.1637482548321633,0.0,0.08732446506256836,0.28067306789107116,0.0,0.14308884538785385,0.1189413623883497,0.04261843657089499,0.0403817959719344,0.05894258029781329,0.064281191597351
2019-12-27,风险平价策略,1.0,0.2,0.1,0.12388317289033143,0.8072121311303981,0.16144242622607963,0.16144242622607963,0.0,0.08162406540938993,0.29128414018640336,0.0,0.150000175588244,0.10526359318596924,0.042662229669199817,0.040737986891285986,0.060036102195462196,0.06694928064796575
